available_ingredients,recipe_name,recipe_ingredients,instructions
"soy sauce, bell pepper, carrot, olive oil",Vegetable Stir Fry,"broccoli, carrot, bell pepper, soy sauce, garlic, olive oil",1. Chop vegetables. 2. Stir-fry in olive oil. 3. Add soy sauce and garlic. 4. Cook until tender and serve.
"bread, garlic, parsley, butter",Garlic Bread,"bread, butter, garlic, parsley",1. Mix butter with minced garlic and parsley. 2. Spread on bread. 3. Bake until golden brown. 4. Serve hot.
"rice, soy sauce, garlic, egg, spring onion",Egg Fried Rice,"rice, egg, soy sauce, garlic, spring onion",1. Scramble eggs in a pan. 2. Add cooked rice and soy sauce. 3. Stir-fry with garlic and onions. 4. Serve hot.
"banana, honey, milk",Banana Smoothie,"banana, milk, honey","1. Blend banana, milk, and honey. 2. Pour into a glass. 3. Serve chilled."
"chicken, cream, garlic, pasta, parmesan cheese",Chicken Alfredo,"chicken, pasta, cream, garlic, butter, parmesan cheese","1. Cook pasta. 2. Sauté chicken with garlic. 3. Add cream, butter, and cheese. 4. Mix with pasta and serve."
"banana, honey, milk",Banana Smoothie,"banana, milk, honey","1. Blend banana, milk, and honey. 2. Pour into a glass. 3. Serve chilled."
"butter, onion, tomato, black pepper, garlic",Tomato Soup,"tomato, garlic, onion, butter, black pepper",1. Sauté onions and garlic in butter. 2. Add chopped tomatoes and cook. 3. Blend smooth and season. 4. Serve hot.
"rice, soy sauce, spring onion, garlic, egg",Egg Fried Rice,"rice, egg, soy sauce, garlic, spring onion",1. Scramble eggs in a pan. 2. Add cooked rice and soy sauce. 3. Stir-fry with garlic and onions. 4. Serve hot.
"banana, milk, honey",Banana Smoothie,"banana, milk, honey","1. Blend banana, milk, and honey. 2. Pour into a glass. 3. Serve chilled."
"rice, egg, spring onion",Egg Fried Rice,"rice, egg, soy sauce, garlic, spring onion",1. Scramble eggs in a pan. 2. Add cooked rice and soy sauce. 3. Stir-fry with garlic and onions. 4. Serve hot.
"butter, sugar, milk, flour, egg",Pancakes,"flour, milk, egg, sugar, butter","1. Mix flour, milk, egg, and sugar. 2. Cook on a greased pan. 3. Flip when bubbles appear. 4. Serve with butter and syrup."
"cheese, black pepper, spaghetti",Spaghetti Carbonara,"spaghetti, egg, cheese, bacon, black pepper",1. Boil spaghetti. 2. Cook bacon until crispy. 3. Mix eggs and cheese. 4. Combine everything and serve.
"egg, flour, butter, milk, sugar",Pancakes,"flour, milk, egg, sugar, butter","1. Mix flour, milk, egg, and sugar. 2. Cook on a greased pan. 3. Flip when bubbles appear. 4. Serve with butter and syrup."
"carrot, garlic, broccoli, olive oil",Vegetable Stir Fry,"broccoli, carrot, bell pepper, soy sauce, garlic, olive oil",1. Chop vegetables. 2. Stir-fry in olive oil. 3. Add soy sauce and garlic. 4. Cook until tender and serve.
"sugar, flour, butter",Pancakes,"flour, milk, egg, sugar, butter","1. Mix flour, milk, egg, and sugar. 2. Cook on a greased pan. 3. Flip when bubbles appear. 4. Serve with butter and syrup."
"soy sauce, bell pepper, garlic, olive oil",Vegetable Stir Fry,"broccoli, carrot, bell pepper, soy sauce, garlic, olive oil",1. Chop vegetables. 2. Stir-fry in olive oil. 3. Add soy sauce and garlic. 4. Cook until tender and serve.
"honey, milk, banana",Banana Smoothie,"banana, milk, honey","1. Blend banana, milk, and honey. 2. Pour into a glass. 3. Serve chilled."
"butter, bread, cheese",Grilled Cheese Sandwich,"bread, butter, cheese",1. Butter bread slices. 2. Add cheese between slices. 3. Grill until golden brown. 4. Serve hot.
"honey, milk, banana",Banana Smoothie,"banana, milk, honey","1. Blend banana, milk, and honey. 2. Pour into a glass. 3. Serve chilled."
"garlic, yogurt, rice, chicken, cumin, turmeric",Chicken Biryani,"chicken, rice, yogurt, garlic, cumin, turmeric",1. Marinate chicken in yogurt and spices. 2. Cook rice with spices. 3. Layer chicken and rice together. 4. Serve hot.
"flour, sugar, butter, egg, milk",Pancakes,"flour, milk, egg, sugar, butter","1. Mix flour, milk, egg, and sugar. 2. Cook on a greased pan. 3. Flip when bubbles appear. 4. Serve with butter and syrup."
"garlic, soy sauce, spring onion, egg",Egg Fried Rice,"rice, egg, soy sauce, garlic, spring onion",1. Scramble eggs in a pan. 2. Add cooked rice and soy sauce. 3. Stir-fry with garlic and onions. 4. Serve hot.
"butter, cream, garlic, parmesan cheese",Chicken Alfredo,"chicken, pasta, cream, garlic, butter, parmesan cheese","1. Cook pasta. 2. Sauté chicken with garlic. 3. Add cream, butter, and cheese. 4. Mix with pasta and serve."
"cream, garlic, chicken, butter, pasta",Chicken Alfredo,"chicken, pasta, cream, garlic, butter, parmesan cheese","1. Cook pasta. 2. Sauté chicken with garlic. 3. Add cream, butter, and cheese. 4. Mix with pasta and serve."
"garlic, butter, parsley",Garlic Bread,"bread, butter, garlic, parsley",1. Mix butter with minced garlic and parsley. 2. Spread on bread. 3. Bake until golden brown. 4. Serve hot.
"rice, soy sauce, spring onion",Egg Fried Rice,"rice, egg, soy sauce, garlic, spring onion",1. Scramble eggs in a pan. 2. Add cooked rice and soy sauce. 3. Stir-fry with garlic and onions. 4. Serve hot.
"rice, soy sauce, garlic, egg",Egg Fried Rice,"rice, egg, soy sauce, garlic, spring onion",1. Scramble eggs in a pan. 2. Add cooked rice and soy sauce. 3. Stir-fry with garlic and onions. 4. Serve hot.
"flour, egg, milk, butter, sugar",Pancakes,"flour, milk, egg, sugar, butter","1. Mix flour, milk, egg, and sugar. 2. Cook on a greased pan. 3. Flip when bubbles appear. 4. Serve with butter and syrup."
"butter, cream, parmesan cheese, chicken, pasta, garlic",Chicken Alfredo,"chicken, pasta, cream, garlic, butter, parmesan cheese","1. Cook pasta. 2. Sauté chicken with garlic. 3. Add cream, butter, and cheese. 4. Mix with pasta and serve."
"cheese, butter, bread",Grilled Cheese Sandwich,"bread, butter, cheese",1. Butter bread slices. 2. Add cheese between slices. 3. Grill until golden brown. 4. Serve hot.
"cheese, butter, bread",Grilled Cheese Sandwich,"bread, butter, cheese",1. Butter bread slices. 2. Add cheese between slices. 3. Grill until golden brown. 4. Serve hot.
"bread, garlic, parsley, butter",Garlic Bread,"bread, butter, garlic, parsley",1. Mix butter with minced garlic and parsley. 2. Spread on bread. 3. Bake until golden brown. 4. Serve hot.
"soy sauce, egg, garlic, rice, spring onion",Egg Fried Rice,"rice, egg, soy sauce, garlic, spring onion",1. Scramble eggs in a pan. 2. Add cooked rice and soy sauce. 3. Stir-fry with garlic and onions. 4. Serve hot.
"milk, honey, banana",Banana Smoothie,"banana, milk, honey","1. Blend banana, milk, and honey. 2. Pour into a glass. 3. Serve chilled."
"spaghetti, cheese, egg, black pepper, bacon",Spaghetti Carbonara,"spaghetti, egg, cheese, bacon, black pepper",1. Boil spaghetti. 2. Cook bacon until crispy. 3. Mix eggs and cheese. 4. Combine everything and serve.
"egg, milk, sugar, flour",Pancakes,"flour, milk, egg, sugar, butter","1. Mix flour, milk, egg, and sugar. 2. Cook on a greased pan. 3. Flip when bubbles appear. 4. Serve with butter and syrup."
"milk, butter, egg, flour",Pancakes,"flour, milk, egg, sugar, butter","1. Mix flour, milk, egg, and sugar. 2. Cook on a greased pan. 3. Flip when bubbles appear. 4. Serve with butter and syrup."
"butter, onion, black pepper, tomato, garlic",Tomato Soup,"tomato, garlic, onion, butter, black pepper",1. Sauté onions and garlic in butter. 2. Add chopped tomatoes and cook. 3. Blend smooth and season. 4. Serve hot.
"broccoli, garlic, carrot, olive oil",Vegetable Stir Fry,"broccoli, carrot, bell pepper, soy sauce, garlic, olive oil",1. Chop vegetables. 2. Stir-fry in olive oil. 3. Add soy sauce and garlic. 4. Cook until tender and serve.
"garlic, parsley, bread, butter",Garlic Bread,"bread, butter, garlic, parsley",1. Mix butter with minced garlic and parsley. 2. Spread on bread. 3. Bake until golden brown. 4. Serve hot.
"olive oil, carrot, garlic, broccoli, soy sauce",Vegetable Stir Fry,"broccoli, carrot, bell pepper, soy sauce, garlic, olive oil",1. Chop vegetables. 2. Stir-fry in olive oil. 3. Add soy sauce and garlic. 4. Cook until tender and serve.
"flour, egg, milk, sugar, butter",Pancakes,"flour, milk, egg, sugar, butter","1. Mix flour, milk, egg, and sugar. 2. Cook on a greased pan. 3. Flip when bubbles appear. 4. Serve with butter and syrup."
"butter, egg, flour, sugar",Pancakes,"flour, milk, egg, sugar, butter","1. Mix flour, milk, egg, and sugar. 2. Cook on a greased pan. 3. Flip when bubbles appear. 4. Serve with butter and syrup."
"parmesan cheese, pasta, butter, garlic, chicken",Chicken Alfredo,"chicken, pasta, cream, garlic, butter, parmesan cheese","1. Cook pasta. 2. Sauté chicken with garlic. 3. Add cream, butter, and cheese. 4. Mix with pasta and serve."
"bread, butter, cheese",Grilled Cheese Sandwich,"bread, butter, cheese",1. Butter bread slices. 2. Add cheese between slices. 3. Grill until golden brown. 4. Serve hot.
"turmeric, cumin, rice, garlic, chicken, yogurt",Chicken Biryani,"chicken, rice, yogurt, garlic, cumin, turmeric",1. Marinate chicken in yogurt and spices. 2. Cook rice with spices. 3. Layer chicken and rice together. 4. Serve hot.
"banana, milk, honey",Banana Smoothie,"banana, milk, honey","1. Blend banana, milk, and honey. 2. Pour into a glass. 3. Serve chilled."
"cheese, egg, bacon, black pepper, spaghetti",Spaghetti Carbonara,"spaghetti, egg, cheese, bacon, black pepper",1. Boil spaghetti. 2. Cook bacon until crispy. 3. Mix eggs and cheese. 4. Combine everything and serve.
"butter, garlic, parsley",Garlic Bread,"bread, butter, garlic, parsley",1. Mix butter with minced garlic and parsley. 2. Spread on bread. 3. Bake until golden brown. 4. Serve hot.
"spring onion, egg, rice, soy sauce, garlic",Egg Fried Rice,"rice, egg, soy sauce, garlic, spring onion",1. Scramble eggs in a pan. 2. Add cooked rice and soy sauce. 3. Stir-fry with garlic and onions. 4. Serve hot.
"onion, butter, tomato",Tomato Soup,"tomato, garlic, onion, butter, black pepper",1. Sauté onions and garlic in butter. 2. Add chopped tomatoes and cook. 3. Blend smooth and season. 4. Serve hot.
"soy sauce, broccoli, olive oil, bell pepper, garlic, carrot",Vegetable Stir Fry,"broccoli, carrot, bell pepper, soy sauce, garlic, olive oil",1. Chop vegetables. 2. Stir-fry in olive oil. 3. Add soy sauce and garlic. 4. Cook until tender and serve.
"butter, egg, flour",Pancakes,"flour, milk, egg, sugar, butter","1. Mix flour, milk, egg, and sugar. 2. Cook on a greased pan. 3. Flip when bubbles appear. 4. Serve with butter and syrup."
"carrot, soy sauce, olive oil, garlic",Vegetable Stir Fry,"broccoli, carrot, bell pepper, soy sauce, garlic, olive oil",1. Chop vegetables. 2. Stir-fry in olive oil. 3. Add soy sauce and garlic. 4. Cook until tender and serve.
"garlic, bread, parsley, butter",Garlic Bread,"bread, butter, garlic, parsley",1. Mix butter with minced garlic and parsley. 2. Spread on bread. 3. Bake until golden brown. 4. Serve hot.
"cheese, black pepper, egg, spaghetti, bacon",Spaghetti Carbonara,"spaghetti, egg, cheese, bacon, black pepper",1. Boil spaghetti. 2. Cook bacon until crispy. 3. Mix eggs and cheese. 4. Combine everything and serve.
"bacon, spaghetti, cheese",Spaghetti Carbonara,"spaghetti, egg, cheese, bacon, black pepper",1. Boil spaghetti. 2. Cook bacon until crispy. 3. Mix eggs and cheese. 4. Combine everything and serve.
"garlic, pasta, cream",Chicken Alfredo,"chicken, pasta, cream, garlic, butter, parmesan cheese","1. Cook pasta. 2. Sauté chicken with garlic. 3. Add cream, butter, and cheese. 4. Mix with pasta and serve."
"milk, honey, banana",Banana Smoothie,"banana, milk, honey","1. Blend banana, milk, and honey. 2. Pour into a glass. 3. Serve chilled."
"parmesan cheese, chicken, garlic, cream",Chicken Alfredo,"chicken, pasta, cream, garlic, butter, parmesan cheese","1. Cook pasta. 2. Sauté chicken with garlic. 3. Add cream, butter, and cheese. 4. Mix with pasta and serve."
"cheese, bread, butter",Grilled Cheese Sandwich,"bread, butter, cheese",1. Butter bread slices. 2. Add cheese between slices. 3. Grill until golden brown. 4. Serve hot.
"sugar, flour, milk, butter, egg",Pancakes,"flour, milk, egg, sugar, butter","1. Mix flour, milk, egg, and sugar. 2. Cook on a greased pan. 3. Flip when bubbles appear. 4. Serve with butter and syrup."
"butter, pasta, cream, chicken, parmesan cheese",Chicken Alfredo,"chicken, pasta, cream, garlic, butter, parmesan cheese","1. Cook pasta. 2. Sauté chicken with garlic. 3. Add cream, butter, and cheese. 4. Mix with pasta and serve."
"bacon, egg, cheese, spaghetti, black pepper",Spaghetti Carbonara,"spaghetti, egg, cheese, bacon, black pepper",1. Boil spaghetti. 2. Cook bacon until crispy. 3. Mix eggs and cheese. 4. Combine everything and serve.
"chicken, cream, butter, pasta",Chicken Alfredo,"chicken, pasta, cream, garlic, butter, parmesan cheese","1. Cook pasta. 2. Sauté chicken with garlic. 3. Add cream, butter, and cheese. 4. Mix with pasta and serve."
"spring onion, soy sauce, garlic, rice, egg",Egg Fried Rice,"rice, egg, soy sauce, garlic, spring onion",1. Scramble eggs in a pan. 2. Add cooked rice and soy sauce. 3. Stir-fry with garlic and onions. 4. Serve hot.
"soy sauce, spring onion, rice",Egg Fried Rice,"rice, egg, soy sauce, garlic, spring onion",1. Scramble eggs in a pan. 2. Add cooked rice and soy sauce. 3. Stir-fry with garlic and onions. 4. Serve hot.
"milk, banana, honey",Banana Smoothie,"banana, milk, honey","1. Blend banana, milk, and honey. 2. Pour into a glass. 3. Serve chilled."
"rice, egg, spring onion",Egg Fried Rice,"rice, egg, soy sauce, garlic, spring onion",1. Scramble eggs in a pan. 2. Add cooked rice and soy sauce. 3. Stir-fry with garlic and onions. 4. Serve hot.
"black pepper, egg, bacon",Spaghetti Carbonara,"spaghetti, egg, cheese, bacon, black pepper",1. Boil spaghetti. 2. Cook bacon until crispy. 3. Mix eggs and cheese. 4. Combine everything and serve.
"bacon, egg, cheese, spaghetti, black pepper",Spaghetti Carbonara,"spaghetti, egg, cheese, bacon, black pepper",1. Boil spaghetti. 2. Cook bacon until crispy. 3. Mix eggs and cheese. 4. Combine everything and serve.
"butter, garlic, bread",Garlic Bread,"bread, butter, garlic, parsley",1. Mix butter with minced garlic and parsley. 2. Spread on bread. 3. Bake until golden brown. 4. Serve hot.
"banana, honey, milk",Banana Smoothie,"banana, milk, honey","1. Blend banana, milk, and honey. 2. Pour into a glass. 3. Serve chilled."
"milk, honey, banana",Banana Smoothie,"banana, milk, honey","1. Blend banana, milk, and honey. 2. Pour into a glass. 3. Serve chilled."
"parmesan cheese, cream, butter",Chicken Alfredo,"chicken, pasta, cream, garlic, butter, parmesan cheese","1. Cook pasta. 2. Sauté chicken with garlic. 3. Add cream, butter, and cheese. 4. Mix with pasta and serve."
"garlic, rice, spring onion",Egg Fried Rice,"rice, egg, soy sauce, garlic, spring onion",1. Scramble eggs in a pan. 2. Add cooked rice and soy sauce. 3. Stir-fry with garlic and onions. 4. Serve hot.
"milk, butter, flour",Pancakes,"flour, milk, egg, sugar, butter","1. Mix flour, milk, egg, and sugar. 2. Cook on a greased pan. 3. Flip when bubbles appear. 4. Serve with butter and syrup."
"butter, cream, parmesan cheese, chicken, garlic, pasta",Chicken Alfredo,"chicken, pasta, cream, garlic, butter, parmesan cheese","1. Cook pasta. 2. Sauté chicken with garlic. 3. Add cream, butter, and cheese. 4. Mix with pasta and serve."
"bell pepper, soy sauce, garlic, olive oil",Vegetable Stir Fry,"broccoli, carrot, bell pepper, soy sauce, garlic, olive oil",1. Chop vegetables. 2. Stir-fry in olive oil. 3. Add soy sauce and garlic. 4. Cook until tender and serve.
"soy sauce, spring onion, garlic, rice, egg",Egg Fried Rice,"rice, egg, soy sauce, garlic, spring onion",1. Scramble eggs in a pan. 2. Add cooked rice and soy sauce. 3. Stir-fry with garlic and onions. 4. Serve hot.
"bread, butter, cheese",Grilled Cheese Sandwich,"bread, butter, cheese",1. Butter bread slices. 2. Add cheese between slices. 3. Grill until golden brown. 4. Serve hot.
"yogurt, garlic, chicken, cumin",Chicken Biryani,"chicken, rice, yogurt, garlic, cumin, turmeric",1. Marinate chicken in yogurt and spices. 2. Cook rice with spices. 3. Layer chicken and rice together. 4. Serve hot.
"sugar, flour, egg, milk, butter",Pancakes,"flour, milk, egg, sugar, butter","1. Mix flour, milk, egg, and sugar. 2. Cook on a greased pan. 3. Flip when bubbles appear. 4. Serve with butter and syrup."
"onion, garlic, black pepper, butter, tomato",Tomato Soup,"tomato, garlic, onion, butter, black pepper",1. Sauté onions and garlic in butter. 2. Add chopped tomatoes and cook. 3. Blend smooth and season. 4. Serve hot.
"butter, onion, tomato, black pepper, garlic",Tomato Soup,"tomato, garlic, onion, butter, black pepper",1. Sauté onions and garlic in butter. 2. Add chopped tomatoes and cook. 3. Blend smooth and season. 4. Serve hot.
"turmeric, garlic, rice",Chicken Biryani,"chicken, rice, yogurt, garlic, cumin, turmeric",1. Marinate chicken in yogurt and spices. 2. Cook rice with spices. 3. Layer chicken and rice together. 4. Serve hot.
"bacon, egg, cheese, black pepper",Spaghetti Carbonara,"spaghetti, egg, cheese, bacon, black pepper",1. Boil spaghetti. 2. Cook bacon until crispy. 3. Mix eggs and cheese. 4. Combine everything and serve.
"spaghetti, bacon, cheese",Spaghetti Carbonara,"spaghetti, egg, cheese, bacon, black pepper",1. Boil spaghetti. 2. Cook bacon until crispy. 3. Mix eggs and cheese. 4. Combine everything and serve.
"parsley, butter, garlic",Garlic Bread,"bread, butter, garlic, parsley",1. Mix butter with minced garlic and parsley. 2. Spread on bread. 3. Bake until golden brown. 4. Serve hot.
"parsley, garlic, bread, butter",Garlic Bread,"bread, butter, garlic, parsley",1. Mix butter with minced garlic and parsley. 2. Spread on bread. 3. Bake until golden brown. 4. Serve hot.
"honey, banana, milk",Banana Smoothie,"banana, milk, honey","1. Blend banana, milk, and honey. 2. Pour into a glass. 3. Serve chilled."
"egg, rice, spring onion, soy sauce",Egg Fried Rice,"rice, egg, soy sauce, garlic, spring onion",1. Scramble eggs in a pan. 2. Add cooked rice and soy sauce. 3. Stir-fry with garlic and onions. 4. Serve hot.
"butter, parsley, garlic",Garlic Bread,"bread, butter, garlic, parsley",1. Mix butter with minced garlic and parsley. 2. Spread on bread. 3. Bake until golden brown. 4. Serve hot.
"garlic, onion, tomato, black pepper, butter",Tomato Soup,"tomato, garlic, onion, butter, black pepper",1. Sauté onions and garlic in butter. 2. Add chopped tomatoes and cook. 3. Blend smooth and season. 4. Serve hot.
"parsley, butter, bread",Garlic Bread,"bread, butter, garlic, parsley",1. Mix butter with minced garlic and parsley. 2. Spread on bread. 3. Bake until golden brown. 4. Serve hot.
"bread, cheese, butter",Grilled Cheese Sandwich,"bread, butter, cheese",1. Butter bread slices. 2. Add cheese between slices. 3. Grill until golden brown. 4. Serve hot.
"milk, sugar, egg, flour",Pancakes,"flour, milk, egg, sugar, butter","1. Mix flour, milk, egg, and sugar. 2. Cook on a greased pan. 3. Flip when bubbles appear. 4. Serve with butter and syrup."
"spaghetti, black pepper, bacon",Spaghetti Carbonara,"spaghetti, egg, cheese, bacon, black pepper",1. Boil spaghetti. 2. Cook bacon until crispy. 3. Mix eggs and cheese. 4. Combine everything and serve.
"egg, sugar, milk",Pancakes,"flour, milk, egg, sugar, butter","1. Mix flour, milk, egg, and sugar. 2. Cook on a greased pan. 3. Flip when bubbles appear. 4. Serve with butter and syrup."
"garlic, parsley, bread, butter",Garlic Bread,"bread, butter, garlic, parsley",1. Mix butter with minced garlic and parsley. 2. Spread on bread. 3. Bake until golden brown. 4. Serve hot.
"soy sauce, garlic, spring onion, egg, rice",Egg Fried Rice,"rice, egg, soy sauce, garlic, spring onion",1. Scramble eggs in a pan. 2. Add cooked rice and soy sauce. 3. Stir-fry with garlic and onions. 4. Serve hot.
"turmeric, garlic, yogurt",Chicken Biryani,"chicken, rice, yogurt, garlic, cumin, turmeric",1. Marinate chicken in yogurt and spices. 2. Cook rice with spices. 3. Layer chicken and rice together. 4. Serve hot.
"butter, bread, cheese",Grilled Cheese Sandwich,"bread, butter, cheese",1. Butter bread slices. 2. Add cheese between slices. 3. Grill until golden brown. 4. Serve hot.
"butter, pasta, chicken",Chicken Alfredo,"chicken, pasta, cream, garlic, butter, parmesan cheese","1. Cook pasta. 2. Sauté chicken with garlic. 3. Add cream, butter, and cheese. 4. Mix with pasta and serve."
"honey, banana, milk",Banana Smoothie,"banana, milk, honey","1. Blend banana, milk, and honey. 2. Pour into a glass. 3. Serve chilled."
"milk, honey, banana",Banana Smoothie,"banana, milk, honey","1. Blend banana, milk, and honey. 2. Pour into a glass. 3. Serve chilled."
"parmesan cheese, garlic, cream",Chicken Alfredo,"chicken, pasta, cream, garlic, butter, parmesan cheese","1. Cook pasta. 2. Sauté chicken with garlic. 3. Add cream, butter, and cheese. 4. Mix with pasta and serve."
"flour, egg, sugar",Pancakes,"flour, milk, egg, sugar, butter","1. Mix flour, milk, egg, and sugar. 2. Cook on a greased pan. 3. Flip when bubbles appear. 4. Serve with butter and syrup."
"bread, butter, cheese",Grilled Cheese Sandwich,"bread, butter, cheese",1. Butter bread slices. 2. Add cheese between slices. 3. Grill until golden brown. 4. Serve hot.
"garlic, rice, spring onion, soy sauce, egg",Egg Fried Rice,"rice, egg, soy sauce, garlic, spring onion",1. Scramble eggs in a pan. 2. Add cooked rice and soy sauce. 3. Stir-fry with garlic and onions. 4. Serve hot.
"bread, butter, cheese",Grilled Cheese Sandwich,"bread, butter, cheese",1. Butter bread slices. 2. Add cheese between slices. 3. Grill until golden brown. 4. Serve hot.
"butter, garlic, parsley, bread",Garlic Bread,"bread, butter, garlic, parsley",1. Mix butter with minced garlic and parsley. 2. Spread on bread. 3. Bake until golden brown. 4. Serve hot.
"butter, bread, garlic, parsley",Garlic Bread,"bread, butter, garlic, parsley",1. Mix butter with minced garlic and parsley. 2. Spread on bread. 3. Bake until golden brown. 4. Serve hot.
"garlic, spring onion, egg, rice",Egg Fried Rice,"rice, egg, soy sauce, garlic, spring onion",1. Scramble eggs in a pan. 2. Add cooked rice and soy sauce. 3. Stir-fry with garlic and onions. 4. Serve hot.
"garlic, chicken, yogurt, cumin",Chicken Biryani,"chicken, rice, yogurt, garlic, cumin, turmeric",1. Marinate chicken in yogurt and spices. 2. Cook rice with spices. 3. Layer chicken and rice together. 4. Serve hot.
"rice, chicken, cumin",Chicken Biryani,"chicken, rice, yogurt, garlic, cumin, turmeric",1. Marinate chicken in yogurt and spices. 2. Cook rice with spices. 3. Layer chicken and rice together. 4. Serve hot.
"butter, garlic, parsley, bread",Garlic Bread,"bread, butter, garlic, parsley",1. Mix butter with minced garlic and parsley. 2. Spread on bread. 3. Bake until golden brown. 4. Serve hot.
"spring onion, garlic, soy sauce, rice, egg",Egg Fried Rice,"rice, egg, soy sauce, garlic, spring onion",1. Scramble eggs in a pan. 2. Add cooked rice and soy sauce. 3. Stir-fry with garlic and onions. 4. Serve hot.
"butter, tomato, garlic, black pepper, onion",Tomato Soup,"tomato, garlic, onion, butter, black pepper",1. Sauté onions and garlic in butter. 2. Add chopped tomatoes and cook. 3. Blend smooth and season. 4. Serve hot.
"honey, milk, banana",Banana Smoothie,"banana, milk, honey","1. Blend banana, milk, and honey. 2. Pour into a glass. 3. Serve chilled."
"butter, tomato, onion, black pepper",Tomato Soup,"tomato, garlic, onion, butter, black pepper",1. Sauté onions and garlic in butter. 2. Add chopped tomatoes and cook. 3. Blend smooth and season. 4. Serve hot.
"honey, milk, banana",Banana Smoothie,"banana, milk, honey","1. Blend banana, milk, and honey. 2. Pour into a glass. 3. Serve chilled."
"cumin, rice, garlic",Chicken Biryani,"chicken, rice, yogurt, garlic, cumin, turmeric",1. Marinate chicken in yogurt and spices. 2. Cook rice with spices. 3. Layer chicken and rice together. 4. Serve hot.
"butter, bread, cheese",Grilled Cheese Sandwich,"bread, butter, cheese",1. Butter bread slices. 2. Add cheese between slices. 3. Grill until golden brown. 4. Serve hot.
"spaghetti, black pepper, egg, bacon",Spaghetti Carbonara,"spaghetti, egg, cheese, bacon, black pepper",1. Boil spaghetti. 2. Cook bacon until crispy. 3. Mix eggs and cheese. 4. Combine everything and serve.
"butter, black pepper, onion, tomato",Tomato Soup,"tomato, garlic, onion, butter, black pepper",1. Sauté onions and garlic in butter. 2. Add chopped tomatoes and cook. 3. Blend smooth and season. 4. Serve hot.
"garlic, bread, butter",Garlic Bread,"bread, butter, garlic, parsley",1. Mix butter with minced garlic and parsley. 2. Spread on bread. 3. Bake until golden brown. 4. Serve hot.
