available_ingredients,recipe_name,recipe_ingredients,instructions
"rice, turmeric, garlic",Chicken Biryani,"chicken, rice, yogurt, garlic, cumin, turmeric",1. Marinate chicken in yogurt and spices. 2. Cook rice with spices. 3. Layer chicken and rice together. 4. Serve hot.
"cheese, bacon, spaghetti",Spaghetti Carbonara,"spaghetti, egg, cheese, bacon, black pepper",1. Boil spaghetti. 2. Cook bacon until crispy. 3. Mix eggs and cheese. 4. Combine everything and serve.
"sugar, milk, butter",Pancakes,"flour, milk, egg, sugar, butter","1. Mix flour, milk, egg, and sugar. 2. Cook on a greased pan. 3. Flip when bubbles appear. 4. Serve with butter and syrup."
"milk, banana, honey",Banana Smoothie,"banana, milk, honey","1. Blend banana, milk, and honey. 2. Pour into a glass. 3. Serve chilled."
"bacon, cheese, black pepper, egg, spaghetti",Spaghetti Carbonara,"spaghetti, egg, cheese, bacon, black pepper",1. Boil spaghetti. 2. Cook bacon until crispy. 3. Mix eggs and cheese. 4. Combine everything and serve.
"bread, cheese, butter",Grilled Cheese Sandwich,"bread, butter, cheese",1. Butter bread slices. 2. Add cheese between slices. 3. Grill until golden brown. 4. Serve hot.
"onion, garlic, butter",Tomato Soup,"tomato, garlic, onion, butter, black pepper",1. Sauté onions and garlic in butter. 2. Add chopped tomatoes and cook. 3. Blend smooth and season. 4. Serve hot.
"onion, black pepper, garlic",Tomato Soup,"tomato, garlic, onion, butter, black pepper",1. Sauté onions and garlic in butter. 2. Add chopped tomatoes and cook. 3. Blend smooth and season. 4. Serve hot.
"cheese, butter, bread",Grilled Cheese Sandwich,"bread, butter, cheese",1. Butter bread slices. 2. Add cheese between slices. 3. Grill until golden brown. 4. Serve hot.
"egg, milk, flour, sugar",Pancakes,"flour, milk, egg, sugar, butter","1. Mix flour, milk, egg, and sugar. 2. Cook on a greased pan. 3. Flip when bubbles appear. 4. Serve with butter and syrup."
"chicken, parmesan cheese, pasta, butter, garlic",Chicken Alfredo,"chicken, pasta, cream, garlic, butter, parmesan cheese","1. Cook pasta. 2. Sauté chicken with garlic. 3. Add cream, butter, and cheese. 4. Mix with pasta and serve."
"butter, cheese, bread",Grilled Cheese Sandwich,"bread, butter, cheese",1. Butter bread slices. 2. Add cheese between slices. 3. Grill until golden brown. 4. Serve hot.
"butter, chicken, garlic, parmesan cheese, cream, pasta",Chicken Alfredo,"chicken, pasta, cream, garlic, butter, parmesan cheese","1. Cook pasta. 2. Sauté chicken with garlic. 3. Add cream, butter, and cheese. 4. Mix with pasta and serve."
"butter, garlic, onion, tomato",Tomato Soup,"tomato, garlic, onion, butter, black pepper",1. Sauté onions and garlic in butter. 2. Add chopped tomatoes and cook. 3. Blend smooth and season. 4. Serve hot.
"rice, spring onion, soy sauce",Egg Fried Rice,"rice, egg, soy sauce, garlic, spring onion",1. Scramble eggs in a pan. 2. Add cooked rice and soy sauce. 3. Stir-fry with garlic and onions. 4. Serve hot.
"onion, garlic, butter, black pepper",Tomato Soup,"tomato, garlic, onion, butter, black pepper",1. Sauté onions and garlic in butter. 2. Add chopped tomatoes and cook. 3. Blend smooth and season. 4. Serve hot.
"parsley, butter, garlic",Garlic Bread,"bread, butter, garlic, parsley",1. Mix butter with minced garlic and parsley. 2. Spread on bread. 3. Bake until golden brown. 4. Serve hot.
"cream, garlic, butter, chicken, parmesan cheese",Chicken Alfredo,"chicken, pasta, cream, garlic, butter, parmesan cheese","1. Cook pasta. 2. Sauté chicken with garlic. 3. Add cream, butter, and cheese. 4. Mix with pasta and serve."
"black pepper, tomato, garlic",Tomato Soup,"tomato, garlic, onion, butter, black pepper",1. Sauté onions and garlic in butter. 2. Add chopped tomatoes and cook. 3. Blend smooth and season. 4. Serve hot.
"butter, cheese, bread",Grilled Cheese Sandwich,"bread, butter, cheese",1. Butter bread slices. 2. Add cheese between slices. 3. Grill until golden brown. 4. Serve hot.
"egg, sugar, butter, flour",Pancakes,"flour, milk, egg, sugar, butter","1. Mix flour, milk, egg, and sugar. 2. Cook on a greased pan. 3. Flip when bubbles appear. 4. Serve with butter and syrup."
"carrot, garlic, soy sauce, broccoli, olive oil",Vegetable Stir Fry,"broccoli, carrot, bell pepper, soy sauce, garlic, olive oil",1. Chop vegetables. 2. Stir-fry in olive oil. 3. Add soy sauce and garlic. 4. Cook until tender and serve.
"garlic, parsley, butter",Garlic Bread,"bread, butter, garlic, parsley",1. Mix butter with minced garlic and parsley. 2. Spread on bread. 3. Bake until golden brown. 4. Serve hot.
"bacon, spaghetti, black pepper, egg",Spaghetti Carbonara,"spaghetti, egg, cheese, bacon, black pepper",1. Boil spaghetti. 2. Cook bacon until crispy. 3. Mix eggs and cheese. 4. Combine everything and serve.
"tomato, onion, garlic",Tomato Soup,"tomato, garlic, onion, butter, black pepper",1. Sauté onions and garlic in butter. 2. Add chopped tomatoes and cook. 3. Blend smooth and season. 4. Serve hot.
"egg, soy sauce, garlic",Egg Fried Rice,"rice, egg, soy sauce, garlic, spring onion",1. Scramble eggs in a pan. 2. Add cooked rice and soy sauce. 3. Stir-fry with garlic and onions. 4. Serve hot.
"onion, garlic, butter",Tomato Soup,"tomato, garlic, onion, butter, black pepper",1. Sauté onions and garlic in butter. 2. Add chopped tomatoes and cook. 3. Blend smooth and season. 4. Serve hot.
"milk, banana, honey",Banana Smoothie,"banana, milk, honey","1. Blend banana, milk, and honey. 2. Pour into a glass. 3. Serve chilled."
"milk, sugar, butter, flour",Pancakes,"flour, milk, egg, sugar, butter","1. Mix flour, milk, egg, and sugar. 2. Cook on a greased pan. 3. Flip when bubbles appear. 4. Serve with butter and syrup."
"turmeric, garlic, rice",Chicken Biryani,"chicken, rice, yogurt, garlic, cumin, turmeric",1. Marinate chicken in yogurt and spices. 2. Cook rice with spices. 3. Layer chicken and rice together. 4. Serve hot.
"carrot, olive oil, bell pepper, soy sauce, garlic, broccoli",Vegetable Stir Fry,"broccoli, carrot, bell pepper, soy sauce, garlic, olive oil",1. Chop vegetables. 2. Stir-fry in olive oil. 3. Add soy sauce and garlic. 4. Cook until tender and serve.
"bread, cheese, butter",Grilled Cheese Sandwich,"bread, butter, cheese",1. Butter bread slices. 2. Add cheese between slices. 3. Grill until golden brown. 4. Serve hot.
"broccoli, carrot, bell pepper, garlic",Vegetable Stir Fry,"broccoli, carrot, bell pepper, soy sauce, garlic, olive oil",1. Chop vegetables. 2. Stir-fry in olive oil. 3. Add soy sauce and garlic. 4. Cook until tender and serve.
"bell pepper, soy sauce, garlic, carrot, broccoli, olive oil",Vegetable Stir Fry,"broccoli, carrot, bell pepper, soy sauce, garlic, olive oil",1. Chop vegetables. 2. Stir-fry in olive oil. 3. Add soy sauce and garlic. 4. Cook until tender and serve.
"black pepper, garlic, butter, tomato",Tomato Soup,"tomato, garlic, onion, butter, black pepper",1. Sauté onions and garlic in butter. 2. Add chopped tomatoes and cook. 3. Blend smooth and season. 4. Serve hot.
"black pepper, tomato, butter, garlic, onion",Tomato Soup,"tomato, garlic, onion, butter, black pepper",1. Sauté onions and garlic in butter. 2. Add chopped tomatoes and cook. 3. Blend smooth and season. 4. Serve hot.
"bread, butter, garlic",Garlic Bread,"bread, butter, garlic, parsley",1. Mix butter with minced garlic and parsley. 2. Spread on bread. 3. Bake until golden brown. 4. Serve hot.
"soy sauce, garlic, egg",Egg Fried Rice,"rice, egg, soy sauce, garlic, spring onion",1. Scramble eggs in a pan. 2. Add cooked rice and soy sauce. 3. Stir-fry with garlic and onions. 4. Serve hot.
"sugar, butter, milk, flour, egg",Pancakes,"flour, milk, egg, sugar, butter","1. Mix flour, milk, egg, and sugar. 2. Cook on a greased pan. 3. Flip when bubbles appear. 4. Serve with butter and syrup."
"cumin, garlic, turmeric",Chicken Biryani,"chicken, rice, yogurt, garlic, cumin, turmeric",1. Marinate chicken in yogurt and spices. 2. Cook rice with spices. 3. Layer chicken and rice together. 4. Serve hot.
"cheese, black pepper, bacon, spaghetti, egg",Spaghetti Carbonara,"spaghetti, egg, cheese, bacon, black pepper",1. Boil spaghetti. 2. Cook bacon until crispy. 3. Mix eggs and cheese. 4. Combine everything and serve.
"bread, parsley, garlic",Garlic Bread,"bread, butter, garlic, parsley",1. Mix butter with minced garlic and parsley. 2. Spread on bread. 3. Bake until golden brown. 4. Serve hot.
"broccoli, bell pepper, garlic, soy sauce, carrot",Vegetable Stir Fry,"broccoli, carrot, bell pepper, soy sauce, garlic, olive oil",1. Chop vegetables. 2. Stir-fry in olive oil. 3. Add soy sauce and garlic. 4. Cook until tender and serve.
"cheese, butter, bread",Grilled Cheese Sandwich,"bread, butter, cheese",1. Butter bread slices. 2. Add cheese between slices. 3. Grill until golden brown. 4. Serve hot.
"tomato, butter, onion, garlic",Tomato Soup,"tomato, garlic, onion, butter, black pepper",1. Sauté onions and garlic in butter. 2. Add chopped tomatoes and cook. 3. Blend smooth and season. 4. Serve hot.
"butter, cheese, bread",Grilled Cheese Sandwich,"bread, butter, cheese",1. Butter bread slices. 2. Add cheese between slices. 3. Grill until golden brown. 4. Serve hot.
"broccoli, soy sauce, carrot, bell pepper, garlic, olive oil",Vegetable Stir Fry,"broccoli, carrot, bell pepper, soy sauce, garlic, olive oil",1. Chop vegetables. 2. Stir-fry in olive oil. 3. Add soy sauce and garlic. 4. Cook until tender and serve.
"bell pepper, garlic, broccoli, soy sauce",Vegetable Stir Fry,"broccoli, carrot, bell pepper, soy sauce, garlic, olive oil",1. Chop vegetables. 2. Stir-fry in olive oil. 3. Add soy sauce and garlic. 4. Cook until tender and serve.
"butter, chicken, garlic, pasta, parmesan cheese",Chicken Alfredo,"chicken, pasta, cream, garlic, butter, parmesan cheese","1. Cook pasta. 2. Sauté chicken with garlic. 3. Add cream, butter, and cheese. 4. Mix with pasta and serve."
"banana, milk, honey",Banana Smoothie,"banana, milk, honey","1. Blend banana, milk, and honey. 2. Pour into a glass. 3. Serve chilled."
"bread, butter, cheese",Grilled Cheese Sandwich,"bread, butter, cheese",1. Butter bread slices. 2. Add cheese between slices. 3. Grill until golden brown. 4. Serve hot.
"garlic, butter, onion, black pepper, tomato",Tomato Soup,"tomato, garlic, onion, butter, black pepper",1. Sauté onions and garlic in butter. 2. Add chopped tomatoes and cook. 3. Blend smooth and season. 4. Serve hot.
"cumin, garlic, rice",Chicken Biryani,"chicken, rice, yogurt, garlic, cumin, turmeric",1. Marinate chicken in yogurt and spices. 2. Cook rice with spices. 3. Layer chicken and rice together. 4. Serve hot.
"cream, pasta, parmesan cheese, garlic, chicken",Chicken Alfredo,"chicken, pasta, cream, garlic, butter, parmesan cheese","1. Cook pasta. 2. Sauté chicken with garlic. 3. Add cream, butter, and cheese. 4. Mix with pasta and serve."
"bread, butter, cheese",Grilled Cheese Sandwich,"bread, butter, cheese",1. Butter bread slices. 2. Add cheese between slices. 3. Grill until golden brown. 4. Serve hot.
"butter, bread, cheese",Grilled Cheese Sandwich,"bread, butter, cheese",1. Butter bread slices. 2. Add cheese between slices. 3. Grill until golden brown. 4. Serve hot.
"soy sauce, olive oil, garlic, bell pepper",Vegetable Stir Fry,"broccoli, carrot, bell pepper, soy sauce, garlic, olive oil",1. Chop vegetables. 2. Stir-fry in olive oil. 3. Add soy sauce and garlic. 4. Cook until tender and serve.
"bacon, egg, cheese",Spaghetti Carbonara,"spaghetti, egg, cheese, bacon, black pepper",1. Boil spaghetti. 2. Cook bacon until crispy. 3. Mix eggs and cheese. 4. Combine everything and serve.
"butter, parsley, bread",Garlic Bread,"bread, butter, garlic, parsley",1. Mix butter with minced garlic and parsley. 2. Spread on bread. 3. Bake until golden brown. 4. Serve hot.
"olive oil, soy sauce, bell pepper",Vegetable Stir Fry,"broccoli, carrot, bell pepper, soy sauce, garlic, olive oil",1. Chop vegetables. 2. Stir-fry in olive oil. 3. Add soy sauce and garlic. 4. Cook until tender and serve.
"onion, tomato, butter, black pepper",Tomato Soup,"tomato, garlic, onion, butter, black pepper",1. Sauté onions and garlic in butter. 2. Add chopped tomatoes and cook. 3. Blend smooth and season. 4. Serve hot.
"soy sauce, olive oil, carrot, bell pepper, garlic, broccoli",Vegetable Stir Fry,"broccoli, carrot, bell pepper, soy sauce, garlic, olive oil",1. Chop vegetables. 2. Stir-fry in olive oil. 3. Add soy sauce and garlic. 4. Cook until tender and serve.
"cream, butter, parmesan cheese, garlic, pasta, chicken",Chicken Alfredo,"chicken, pasta, cream, garlic, butter, parmesan cheese","1. Cook pasta. 2. Sauté chicken with garlic. 3. Add cream, butter, and cheese. 4. Mix with pasta and serve."
"bread, parsley, butter, garlic",Garlic Bread,"bread, butter, garlic, parsley",1. Mix butter with minced garlic and parsley. 2. Spread on bread. 3. Bake until golden brown. 4. Serve hot.
"honey, milk, banana",Banana Smoothie,"banana, milk, honey","1. Blend banana, milk, and honey. 2. Pour into a glass. 3. Serve chilled."
"bell pepper, broccoli, olive oil, garlic",Vegetable Stir Fry,"broccoli, carrot, bell pepper, soy sauce, garlic, olive oil",1. Chop vegetables. 2. Stir-fry in olive oil. 3. Add soy sauce and garlic. 4. Cook until tender and serve.
"butter, cheese, bread",Grilled Cheese Sandwich,"bread, butter, cheese",1. Butter bread slices. 2. Add cheese between slices. 3. Grill until golden brown. 4. Serve hot.
"honey, milk, banana",Banana Smoothie,"banana, milk, honey","1. Blend banana, milk, and honey. 2. Pour into a glass. 3. Serve chilled."
"bread, garlic, butter, parsley",Garlic Bread,"bread, butter, garlic, parsley",1. Mix butter with minced garlic and parsley. 2. Spread on bread. 3. Bake until golden brown. 4. Serve hot.
"butter, cheese, bread",Grilled Cheese Sandwich,"bread, butter, cheese",1. Butter bread slices. 2. Add cheese between slices. 3. Grill until golden brown. 4. Serve hot.
"milk, banana, honey",Banana Smoothie,"banana, milk, honey","1. Blend banana, milk, and honey. 2. Pour into a glass. 3. Serve chilled."
"butter, tomato, onion, black pepper, garlic",Tomato Soup,"tomato, garlic, onion, butter, black pepper",1. Sauté onions and garlic in butter. 2. Add chopped tomatoes and cook. 3. Blend smooth and season. 4. Serve hot.
"bread, cheese, butter",Grilled Cheese Sandwich,"bread, butter, cheese",1. Butter bread slices. 2. Add cheese between slices. 3. Grill until golden brown. 4. Serve hot.
"honey, banana, milk",Banana Smoothie,"banana, milk, honey","1. Blend banana, milk, and honey. 2. Pour into a glass. 3. Serve chilled."
"banana, milk, honey",Banana Smoothie,"banana, milk, honey","1. Blend banana, milk, and honey. 2. Pour into a glass. 3. Serve chilled."
"bacon, egg, cheese, spaghetti, black pepper",Spaghetti Carbonara,"spaghetti, egg, cheese, bacon, black pepper",1. Boil spaghetti. 2. Cook bacon until crispy. 3. Mix eggs and cheese. 4. Combine everything and serve.
"spring onion, garlic, egg, rice, soy sauce",Egg Fried Rice,"rice, egg, soy sauce, garlic, spring onion",1. Scramble eggs in a pan. 2. Add cooked rice and soy sauce. 3. Stir-fry with garlic and onions. 4. Serve hot.
"black pepper, onion, tomato, butter, garlic",Tomato Soup,"tomato, garlic, onion, butter, black pepper",1. Sauté onions and garlic in butter. 2. Add chopped tomatoes and cook. 3. Blend smooth and season. 4. Serve hot.
"butter, cheese, bread",Grilled Cheese Sandwich,"bread, butter, cheese",1. Butter bread slices. 2. Add cheese between slices. 3. Grill until golden brown. 4. Serve hot.
"rice, egg, garlic, soy sauce",Egg Fried Rice,"rice, egg, soy sauce, garlic, spring onion",1. Scramble eggs in a pan. 2. Add cooked rice and soy sauce. 3. Stir-fry with garlic and onions. 4. Serve hot.
"garlic, soy sauce, carrot, bell pepper",Vegetable Stir Fry,"broccoli, carrot, bell pepper, soy sauce, garlic, olive oil",1. Chop vegetables. 2. Stir-fry in olive oil. 3. Add soy sauce and garlic. 4. Cook until tender and serve.
"garlic, butter, bread, parsley",Garlic Bread,"bread, butter, garlic, parsley",1. Mix butter with minced garlic and parsley. 2. Spread on bread. 3. Bake until golden brown. 4. Serve hot.
"turmeric, cumin, chicken, yogurt",Chicken Biryani,"chicken, rice, yogurt, garlic, cumin, turmeric",1. Marinate chicken in yogurt and spices. 2. Cook rice with spices. 3. Layer chicken and rice together. 4. Serve hot.
"yogurt, chicken, turmeric, rice, garlic, cumin",Chicken Biryani,"chicken, rice, yogurt, garlic, cumin, turmeric",1. Marinate chicken in yogurt and spices. 2. Cook rice with spices. 3. Layer chicken and rice together. 4. Serve hot.
"flour, sugar, egg, milk, butter",Pancakes,"flour, milk, egg, sugar, butter","1. Mix flour, milk, egg, and sugar. 2. Cook on a greased pan. 3. Flip when bubbles appear. 4. Serve with butter and syrup."
"milk, banana, honey",Banana Smoothie,"banana, milk, honey","1. Blend banana, milk, and honey. 2. Pour into a glass. 3. Serve chilled."
"bacon, egg, cheese",Spaghetti Carbonara,"spaghetti, egg, cheese, bacon, black pepper",1. Boil spaghetti. 2. Cook bacon until crispy. 3. Mix eggs and cheese. 4. Combine everything and serve.
"butter, bread, cheese",Grilled Cheese Sandwich,"bread, butter, cheese",1. Butter bread slices. 2. Add cheese between slices. 3. Grill until golden brown. 4. Serve hot.
"bacon, egg, cheese, black pepper, spaghetti",Spaghetti Carbonara,"spaghetti, egg, cheese, bacon, black pepper",1. Boil spaghetti. 2. Cook bacon until crispy. 3. Mix eggs and cheese. 4. Combine everything and serve.
"garlic, olive oil, broccoli, carrot",Vegetable Stir Fry,"broccoli, carrot, bell pepper, soy sauce, garlic, olive oil",1. Chop vegetables. 2. Stir-fry in olive oil. 3. Add soy sauce and garlic. 4. Cook until tender and serve.
"rice, yogurt, cumin",Chicken Biryani,"chicken, rice, yogurt, garlic, cumin, turmeric",1. Marinate chicken in yogurt and spices. 2. Cook rice with spices. 3. Layer chicken and rice together. 4. Serve hot.
"butter, garlic, bread, parsley",Garlic Bread,"bread, butter, garlic, parsley",1. Mix butter with minced garlic and parsley. 2. Spread on bread. 3. Bake until golden brown. 4. Serve hot.
"milk, honey, banana",Banana Smoothie,"banana, milk, honey","1. Blend banana, milk, and honey. 2. Pour into a glass. 3. Serve chilled."
"black pepper, onion, butter, garlic, tomato",Tomato Soup,"tomato, garlic, onion, butter, black pepper",1. Sauté onions and garlic in butter. 2. Add chopped tomatoes and cook. 3. Blend smooth and season. 4. Serve hot.
"garlic, onion, tomato, black pepper, butter",Tomato Soup,"tomato, garlic, onion, butter, black pepper",1. Sauté onions and garlic in butter. 2. Add chopped tomatoes and cook. 3. Blend smooth and season. 4. Serve hot.
"yogurt, rice, turmeric, cumin, garlic, chicken",Chicken Biryani,"chicken, rice, yogurt, garlic, cumin, turmeric",1. Marinate chicken in yogurt and spices. 2. Cook rice with spices. 3. Layer chicken and rice together. 4. Serve hot.
"egg, soy sauce, garlic",Egg Fried Rice,"rice, egg, soy sauce, garlic, spring onion",1. Scramble eggs in a pan. 2. Add cooked rice and soy sauce. 3. Stir-fry with garlic and onions. 4. Serve hot.
"olive oil, garlic, carrot, broccoli",Vegetable Stir Fry,"broccoli, carrot, bell pepper, soy sauce, garlic, olive oil",1. Chop vegetables. 2. Stir-fry in olive oil. 3. Add soy sauce and garlic. 4. Cook until tender and serve.
"butter, flour, egg, milk",Pancakes,"flour, milk, egg, sugar, butter","1. Mix flour, milk, egg, and sugar. 2. Cook on a greased pan. 3. Flip when bubbles appear. 4. Serve with butter and syrup."
"cheese, butter, bread",Grilled Cheese Sandwich,"bread, butter, cheese",1. Butter bread slices. 2. Add cheese between slices. 3. Grill until golden brown. 4. Serve hot.
"butter, garlic, parsley, bread",Garlic Bread,"bread, butter, garlic, parsley",1. Mix butter with minced garlic and parsley. 2. Spread on bread. 3. Bake until golden brown. 4. Serve hot.
"pasta, parmesan cheese, cream, chicken, butter",Chicken Alfredo,"chicken, pasta, cream, garlic, butter, parmesan cheese","1. Cook pasta. 2. Sauté chicken with garlic. 3. Add cream, butter, and cheese. 4. Mix with pasta and serve."
"banana, honey, milk",Banana Smoothie,"banana, milk, honey","1. Blend banana, milk, and honey. 2. Pour into a glass. 3. Serve chilled."
"parsley, butter, bread",Garlic Bread,"bread, butter, garlic, parsley",1. Mix butter with minced garlic and parsley. 2. Spread on bread. 3. Bake until golden brown. 4. Serve hot.
"garlic, tomato, onion, black pepper",Tomato Soup,"tomato, garlic, onion, butter, black pepper",1. Sauté onions and garlic in butter. 2. Add chopped tomatoes and cook. 3. Blend smooth and season. 4. Serve hot.
"egg, cheese, bacon, black pepper",Spaghetti Carbonara,"spaghetti, egg, cheese, bacon, black pepper",1. Boil spaghetti. 2. Cook bacon until crispy. 3. Mix eggs and cheese. 4. Combine everything and serve.
"cheese, bread, butter",Grilled Cheese Sandwich,"bread, butter, cheese",1. Butter bread slices. 2. Add cheese between slices. 3. Grill until golden brown. 4. Serve hot.
"milk, honey, banana",Banana Smoothie,"banana, milk, honey","1. Blend banana, milk, and honey. 2. Pour into a glass. 3. Serve chilled."
"flour, butter, milk",Pancakes,"flour, milk, egg, sugar, butter","1. Mix flour, milk, egg, and sugar. 2. Cook on a greased pan. 3. Flip when bubbles appear. 4. Serve with butter and syrup."
"soy sauce, rice, spring onion",Egg Fried Rice,"rice, egg, soy sauce, garlic, spring onion",1. Scramble eggs in a pan. 2. Add cooked rice and soy sauce. 3. Stir-fry with garlic and onions. 4. Serve hot.
"parsley, butter, bread",Garlic Bread,"bread, butter, garlic, parsley",1. Mix butter with minced garlic and parsley. 2. Spread on bread. 3. Bake until golden brown. 4. Serve hot.
"butter, cheese, bread",Grilled Cheese Sandwich,"bread, butter, cheese",1. Butter bread slices. 2. Add cheese between slices. 3. Grill until golden brown. 4. Serve hot.
"spring onion, soy sauce, rice",Egg Fried Rice,"rice, egg, soy sauce, garlic, spring onion",1. Scramble eggs in a pan. 2. Add cooked rice and soy sauce. 3. Stir-fry with garlic and onions. 4. Serve hot.
"bread, butter, parsley",Garlic Bread,"bread, butter, garlic, parsley",1. Mix butter with minced garlic and parsley. 2. Spread on bread. 3. Bake until golden brown. 4. Serve hot.
"butter, garlic, pasta, parmesan cheese",Chicken Alfredo,"chicken, pasta, cream, garlic, butter, parmesan cheese","1. Cook pasta. 2. Sauté chicken with garlic. 3. Add cream, butter, and cheese. 4. Mix with pasta and serve."
"cheese, butter, bread",Grilled Cheese Sandwich,"bread, butter, cheese",1. Butter bread slices. 2. Add cheese between slices. 3. Grill until golden brown. 4. Serve hot.
"onion, butter, garlic, tomato, black pepper",Tomato Soup,"tomato, garlic, onion, butter, black pepper",1. Sauté onions and garlic in butter. 2. Add chopped tomatoes and cook. 3. Blend smooth and season. 4. Serve hot.
"honey, milk, banana",Banana Smoothie,"banana, milk, honey","1. Blend banana, milk, and honey. 2. Pour into a glass. 3. Serve chilled."
"butter, garlic, onion, black pepper, tomato",Tomato Soup,"tomato, garlic, onion, butter, black pepper",1. Sauté onions and garlic in butter. 2. Add chopped tomatoes and cook. 3. Blend smooth and season. 4. Serve hot.
"cream, butter, garlic, parmesan cheese",Chicken Alfredo,"chicken, pasta, cream, garlic, butter, parmesan cheese","1. Cook pasta. 2. Sauté chicken with garlic. 3. Add cream, butter, and cheese. 4. Mix with pasta and serve."
"tomato, onion, butter, garlic, black pepper",Tomato Soup,"tomato, garlic, onion, butter, black pepper",1. Sauté onions and garlic in butter. 2. Add chopped tomatoes and cook. 3. Blend smooth and season. 4. Serve hot.
"milk, honey, banana",Banana Smoothie,"banana, milk, honey","1. Blend banana, milk, and honey. 2. Pour into a glass. 3. Serve chilled."
"cheese, butter, bread",Grilled Cheese Sandwich,"bread, butter, cheese",1. Butter bread slices. 2. Add cheese between slices. 3. Grill until golden brown. 4. Serve hot.
"carrot, olive oil, bell pepper, garlic, broccoli",Vegetable Stir Fry,"broccoli, carrot, bell pepper, soy sauce, garlic, olive oil",1. Chop vegetables. 2. Stir-fry in olive oil. 3. Add soy sauce and garlic. 4. Cook until tender and serve.
"bread, garlic, parsley",Garlic Bread,"bread, butter, garlic, parsley",1. Mix butter with minced garlic and parsley. 2. Spread on bread. 3. Bake until golden brown. 4. Serve hot.
"parsley, butter, garlic, bread",Garlic Bread,"bread, butter, garlic, parsley",1. Mix butter with minced garlic and parsley. 2. Spread on bread. 3. Bake until golden brown. 4. Serve hot.
"bread, butter, cheese",Grilled Cheese Sandwich,"bread, butter, cheese",1. Butter bread slices. 2. Add cheese between slices. 3. Grill until golden brown. 4. Serve hot.
"bread, garlic, parsley",Garlic Bread,"bread, butter, garlic, parsley",1. Mix butter with minced garlic and parsley. 2. Spread on bread. 3. Bake until golden brown. 4. Serve hot.
