available_ingredients,recipe_name,recipe_ingredients,instructions
"broccoli, bell pepper, soy sauce, carrot, olive oil, garlic",Vegetable Stir Fry,"broccoli, carrot, bell pepper, soy sauce, garlic, olive oil",1. Chop vegetables. 2. Stir-fry in olive oil. 3. Add soy sauce and garlic. 4. Cook until tender and serve.
"rice, yogurt, chicken, cumin",Chicken Biryani,"chicken, rice, yogurt, garlic, cumin, turmeric",1. Marinate chicken in yogurt and spices. 2. Cook rice with spices. 3. Layer chicken and rice together. 4. Serve hot.
"garlic, bread, parsley, butter",Garlic Bread,"bread, butter, garlic, parsley",1. Mix butter with minced garlic and parsley. 2. Spread on bread. 3. Bake until golden brown. 4. Serve hot.
"rice, egg, spring onion, garlic",Egg Fried Rice,"rice, egg, soy sauce, garlic, spring onion",1. Scramble eggs in a pan. 2. Add cooked rice and soy sauce. 3. Stir-fry with garlic and onions. 4. Serve hot.
"cream, chicken, parmesan cheese, butter, pasta, garlic",Chicken Alfredo,"chicken, pasta, cream, garlic, butter, parmesan cheese","1. Cook pasta. 2. Sauté chicken with garlic. 3. Add cream, butter, and cheese. 4. Mix with pasta and serve."
"cumin, yogurt, turmeric, chicken, garlic, rice",Chicken Biryani,"chicken, rice, yogurt, garlic, cumin, turmeric",1. Marinate chicken in yogurt and spices. 2. Cook rice with spices. 3. Layer chicken and rice together. 4. Serve hot.
"bacon, black pepper, cheese, spaghetti",Spaghetti Carbonara,"spaghetti, egg, cheese, bacon, black pepper",1. Boil spaghetti. 2. Cook bacon until crispy. 3. Mix eggs and cheese. 4. Combine everything and serve.
"butter, cream, pasta, parmesan cheese, chicken",Chicken Alfredo,"chicken, pasta, cream, garlic, butter, parmesan cheese","1. Cook pasta. 2. Sauté chicken with garlic. 3. Add cream, butter, and cheese. 4. Mix with pasta and serve."
"pasta, butter, cream",Chicken Alfredo,"chicken, pasta, cream, garlic, butter, parmesan cheese","1. Cook pasta. 2. Sauté chicken with garlic. 3. Add cream, butter, and cheese. 4. Mix with pasta and serve."
"cheese, egg, bacon",Spaghetti Carbonara,"spaghetti, egg, cheese, bacon, black pepper",1. Boil spaghetti. 2. Cook bacon until crispy. 3. Mix eggs and cheese. 4. Combine everything and serve.
"butter, bread, cheese",Grilled Cheese Sandwich,"bread, butter, cheese",1. Butter bread slices. 2. Add cheese between slices. 3. Grill until golden brown. 4. Serve hot.
"flour, egg, milk",Pancakes,"flour, milk, egg, sugar, butter","1. Mix flour, milk, egg, and sugar. 2. Cook on a greased pan. 3. Flip when bubbles appear. 4. Serve with butter and syrup."
"onion, tomato, butter",Tomato Soup,"tomato, garlic, onion, butter, black pepper",1. Sauté onions and garlic in butter. 2. Add chopped tomatoes and cook. 3. Blend smooth and season. 4. Serve hot.
"onion, butter, black pepper, tomato",Tomato Soup,"tomato, garlic, onion, butter, black pepper",1. Sauté onions and garlic in butter. 2. Add chopped tomatoes and cook. 3. Blend smooth and season. 4. Serve hot.
"rice, spring onion, garlic, egg, soy sauce",Egg Fried Rice,"rice, egg, soy sauce, garlic, spring onion",1. Scramble eggs in a pan. 2. Add cooked rice and soy sauce. 3. Stir-fry with garlic and onions. 4. Serve hot.
"cheese, bread, butter",Grilled Cheese Sandwich,"bread, butter, cheese",1. Butter bread slices. 2. Add cheese between slices. 3. Grill until golden brown. 4. Serve hot.
"garlic, rice, spring onion",Egg Fried Rice,"rice, egg, soy sauce, garlic, spring onion",1. Scramble eggs in a pan. 2. Add cooked rice and soy sauce. 3. Stir-fry with garlic and onions. 4. Serve hot.
"cumin, yogurt, garlic, chicken, rice, turmeric",Chicken Biryani,"chicken, rice, yogurt, garlic, cumin, turmeric",1. Marinate chicken in yogurt and spices. 2. Cook rice with spices. 3. Layer chicken and rice together. 4. Serve hot.
"banana, milk, honey",Banana Smoothie,"banana, milk, honey","1. Blend banana, milk, and honey. 2. Pour into a glass. 3. Serve chilled."
"garlic, egg, spring onion, soy sauce, rice",Egg Fried Rice,"rice, egg, soy sauce, garlic, spring onion",1. Scramble eggs in a pan. 2. Add cooked rice and soy sauce. 3. Stir-fry with garlic and onions. 4. Serve hot.
"butter, bread, parsley, garlic",Garlic Bread,"bread, butter, garlic, parsley",1. Mix butter with minced garlic and parsley. 2. Spread on bread. 3. Bake until golden brown. 4. Serve hot.
"garlic, parsley, butter, bread",Garlic Bread,"bread, butter, garlic, parsley",1. Mix butter with minced garlic and parsley. 2. Spread on bread. 3. Bake until golden brown. 4. Serve hot.
"garlic, parsley, bread, butter",Garlic Bread,"bread, butter, garlic, parsley",1. Mix butter with minced garlic and parsley. 2. Spread on bread. 3. Bake until golden brown. 4. Serve hot.
"black pepper, butter, onion",Tomato Soup,"tomato, garlic, onion, butter, black pepper",1. Sauté onions and garlic in butter. 2. Add chopped tomatoes and cook. 3. Blend smooth and season. 4. Serve hot.
"black pepper, onion, butter, garlic, tomato",Tomato Soup,"tomato, garlic, onion, butter, black pepper",1. Sauté onions and garlic in butter. 2. Add chopped tomatoes and cook. 3. Blend smooth and season. 4. Serve hot.
"chicken, pasta, garlic, cream, butter, parmesan cheese",Chicken Alfredo,"chicken, pasta, cream, garlic, butter, parmesan cheese","1. Cook pasta. 2. Sauté chicken with garlic. 3. Add cream, butter, and cheese. 4. Mix with pasta and serve."
"cream, pasta, butter",Chicken Alfredo,"chicken, pasta, cream, garlic, butter, parmesan cheese","1. Cook pasta. 2. Sauté chicken with garlic. 3. Add cream, butter, and cheese. 4. Mix with pasta and serve."
"chicken, garlic, butter, parmesan cheese, pasta, cream",Chicken Alfredo,"chicken, pasta, cream, garlic, butter, parmesan cheese","1. Cook pasta. 2. Sauté chicken with garlic. 3. Add cream, butter, and cheese. 4. Mix with pasta and serve."
"garlic, egg, rice, spring onion",Egg Fried Rice,"rice, egg, soy sauce, garlic, spring onion",1. Scramble eggs in a pan. 2. Add cooked rice and soy sauce. 3. Stir-fry with garlic and onions. 4. Serve hot.
"butter, tomato, garlic, black pepper, onion",Tomato Soup,"tomato, garlic, onion, butter, black pepper",1. Sauté onions and garlic in butter. 2. Add chopped tomatoes and cook. 3. Blend smooth and season. 4. Serve hot.
"honey, banana, milk",Banana Smoothie,"banana, milk, honey","1. Blend banana, milk, and honey. 2. Pour into a glass. 3. Serve chilled."
"honey, milk, banana",Banana Smoothie,"banana, milk, honey","1. Blend banana, milk, and honey. 2. Pour into a glass. 3. Serve chilled."
"banana, milk, honey",Banana Smoothie,"banana, milk, honey","1. Blend banana, milk, and honey. 2. Pour into a glass. 3. Serve chilled."
"milk, banana, honey",Banana Smoothie,"banana, milk, honey","1. Blend banana, milk, and honey. 2. Pour into a glass. 3. Serve chilled."
"chicken, cream, parmesan cheese, pasta, garlic",Chicken Alfredo,"chicken, pasta, cream, garlic, butter, parmesan cheese","1. Cook pasta. 2. Sauté chicken with garlic. 3. Add cream, butter, and cheese. 4. Mix with pasta and serve."
"black pepper, tomato, onion",Tomato Soup,"tomato, garlic, onion, butter, black pepper",1. Sauté onions and garlic in butter. 2. Add chopped tomatoes and cook. 3. Blend smooth and season. 4. Serve hot.
"bell pepper, olive oil, carrot, soy sauce",Vegetable Stir Fry,"broccoli, carrot, bell pepper, soy sauce, garlic, olive oil",1. Chop vegetables. 2. Stir-fry in olive oil. 3. Add soy sauce and garlic. 4. Cook until tender and serve.
"bell pepper, olive oil, carrot, garlic, broccoli",Vegetable Stir Fry,"broccoli, carrot, bell pepper, soy sauce, garlic, olive oil",1. Chop vegetables. 2. Stir-fry in olive oil. 3. Add soy sauce and garlic. 4. Cook until tender and serve.
"bacon, black pepper, spaghetti, cheese",Spaghetti Carbonara,"spaghetti, egg, cheese, bacon, black pepper",1. Boil spaghetti. 2. Cook bacon until crispy. 3. Mix eggs and cheese. 4. Combine everything and serve.
"tomato, onion, butter",Tomato Soup,"tomato, garlic, onion, butter, black pepper",1. Sauté onions and garlic in butter. 2. Add chopped tomatoes and cook. 3. Blend smooth and season. 4. Serve hot.
"garlic, parmesan cheese, butter, cream, chicken",Chicken Alfredo,"chicken, pasta, cream, garlic, butter, parmesan cheese","1. Cook pasta. 2. Sauté chicken with garlic. 3. Add cream, butter, and cheese. 4. Mix with pasta and serve."
"butter, chicken, parmesan cheese, garlic, pasta, cream",Chicken Alfredo,"chicken, pasta, cream, garlic, butter, parmesan cheese","1. Cook pasta. 2. Sauté chicken with garlic. 3. Add cream, butter, and cheese. 4. Mix with pasta and serve."
"bread, parsley, butter",Garlic Bread,"bread, butter, garlic, parsley",1. Mix butter with minced garlic and parsley. 2. Spread on bread. 3. Bake until golden brown. 4. Serve hot.
"butter, bread, parsley, garlic",Garlic Bread,"bread, butter, garlic, parsley",1. Mix butter with minced garlic and parsley. 2. Spread on bread. 3. Bake until golden brown. 4. Serve hot.
"egg, garlic, rice, soy sauce",Egg Fried Rice,"rice, egg, soy sauce, garlic, spring onion",1. Scramble eggs in a pan. 2. Add cooked rice and soy sauce. 3. Stir-fry with garlic and onions. 4. Serve hot.
"bread, parsley, garlic",Garlic Bread,"bread, butter, garlic, parsley",1. Mix butter with minced garlic and parsley. 2. Spread on bread. 3. Bake until golden brown. 4. Serve hot.
"butter, bread, cheese",Grilled Cheese Sandwich,"bread, butter, cheese",1. Butter bread slices. 2. Add cheese between slices. 3. Grill until golden brown. 4. Serve hot.
"chicken, cream, garlic, pasta, parmesan cheese, butter",Chicken Alfredo,"chicken, pasta, cream, garlic, butter, parmesan cheese","1. Cook pasta. 2. Sauté chicken with garlic. 3. Add cream, butter, and cheese. 4. Mix with pasta and serve."
"rice, garlic, cumin",Chicken Biryani,"chicken, rice, yogurt, garlic, cumin, turmeric",1. Marinate chicken in yogurt and spices. 2. Cook rice with spices. 3. Layer chicken and rice together. 4. Serve hot.
"bell pepper, garlic, olive oil",Vegetable Stir Fry,"broccoli, carrot, bell pepper, soy sauce, garlic, olive oil",1. Chop vegetables. 2. Stir-fry in olive oil. 3. Add soy sauce and garlic. 4. Cook until tender and serve.
"garlic, bread, parsley",Garlic Bread,"bread, butter, garlic, parsley",1. Mix butter with minced garlic and parsley. 2. Spread on bread. 3. Bake until golden brown. 4. Serve hot.
"olive oil, bell pepper, garlic",Vegetable Stir Fry,"broccoli, carrot, bell pepper, soy sauce, garlic, olive oil",1. Chop vegetables. 2. Stir-fry in olive oil. 3. Add soy sauce and garlic. 4. Cook until tender and serve.
"garlic, tomato, onion, black pepper, butter",Tomato Soup,"tomato, garlic, onion, butter, black pepper",1. Sauté onions and garlic in butter. 2. Add chopped tomatoes and cook. 3. Blend smooth and season. 4. Serve hot.
"carrot, broccoli, bell pepper, garlic, soy sauce",Vegetable Stir Fry,"broccoli, carrot, bell pepper, soy sauce, garlic, olive oil",1. Chop vegetables. 2. Stir-fry in olive oil. 3. Add soy sauce and garlic. 4. Cook until tender and serve.
"milk, banana, honey",Banana Smoothie,"banana, milk, honey","1. Blend banana, milk, and honey. 2. Pour into a glass. 3. Serve chilled."
"pasta, chicken, cream, garlic",Chicken Alfredo,"chicken, pasta, cream, garlic, butter, parmesan cheese","1. Cook pasta. 2. Sauté chicken with garlic. 3. Add cream, butter, and cheese. 4. Mix with pasta and serve."
"chicken, parmesan cheese, garlic, pasta, butter",Chicken Alfredo,"chicken, pasta, cream, garlic, butter, parmesan cheese","1. Cook pasta. 2. Sauté chicken with garlic. 3. Add cream, butter, and cheese. 4. Mix with pasta and serve."
"egg, soy sauce, spring onion, garlic, rice",Egg Fried Rice,"rice, egg, soy sauce, garlic, spring onion",1. Scramble eggs in a pan. 2. Add cooked rice and soy sauce. 3. Stir-fry with garlic and onions. 4. Serve hot.
"egg, sugar, butter, milk",Pancakes,"flour, milk, egg, sugar, butter","1. Mix flour, milk, egg, and sugar. 2. Cook on a greased pan. 3. Flip when bubbles appear. 4. Serve with butter and syrup."
"butter, cream, parmesan cheese, garlic, pasta",Chicken Alfredo,"chicken, pasta, cream, garlic, butter, parmesan cheese","1. Cook pasta. 2. Sauté chicken with garlic. 3. Add cream, butter, and cheese. 4. Mix with pasta and serve."
"broccoli, carrot, olive oil",Vegetable Stir Fry,"broccoli, carrot, bell pepper, soy sauce, garlic, olive oil",1. Chop vegetables. 2. Stir-fry in olive oil. 3. Add soy sauce and garlic. 4. Cook until tender and serve.
"garlic, bread, butter",Garlic Bread,"bread, butter, garlic, parsley",1. Mix butter with minced garlic and parsley. 2. Spread on bread. 3. Bake until golden brown. 4. Serve hot.
"rice, chicken, garlic, turmeric, yogurt",Chicken Biryani,"chicken, rice, yogurt, garlic, cumin, turmeric",1. Marinate chicken in yogurt and spices. 2. Cook rice with spices. 3. Layer chicken and rice together. 4. Serve hot.
"chicken, cumin, yogurt",Chicken Biryani,"chicken, rice, yogurt, garlic, cumin, turmeric",1. Marinate chicken in yogurt and spices. 2. Cook rice with spices. 3. Layer chicken and rice together. 4. Serve hot.
"turmeric, chicken, rice, garlic",Chicken Biryani,"chicken, rice, yogurt, garlic, cumin, turmeric",1. Marinate chicken in yogurt and spices. 2. Cook rice with spices. 3. Layer chicken and rice together. 4. Serve hot.
"soy sauce, broccoli, bell pepper, carrot, garlic",Vegetable Stir Fry,"broccoli, carrot, bell pepper, soy sauce, garlic, olive oil",1. Chop vegetables. 2. Stir-fry in olive oil. 3. Add soy sauce and garlic. 4. Cook until tender and serve.
"butter, garlic, parsley",Garlic Bread,"bread, butter, garlic, parsley",1. Mix butter with minced garlic and parsley. 2. Spread on bread. 3. Bake until golden brown. 4. Serve hot.
"milk, butter, egg, flour, sugar",Pancakes,"flour, milk, egg, sugar, butter","1. Mix flour, milk, egg, and sugar. 2. Cook on a greased pan. 3. Flip when bubbles appear. 4. Serve with butter and syrup."
"butter, sugar, egg, flour",Pancakes,"flour, milk, egg, sugar, butter","1. Mix flour, milk, egg, and sugar. 2. Cook on a greased pan. 3. Flip when bubbles appear. 4. Serve with butter and syrup."
"butter, cheese, bread",Grilled Cheese Sandwich,"bread, butter, cheese",1. Butter bread slices. 2. Add cheese between slices. 3. Grill until golden brown. 4. Serve hot.
"turmeric, cumin, rice, yogurt, chicken, garlic",Chicken Biryani,"chicken, rice, yogurt, garlic, cumin, turmeric",1. Marinate chicken in yogurt and spices. 2. Cook rice with spices. 3. Layer chicken and rice together. 4. Serve hot.
"spaghetti, black pepper, egg",Spaghetti Carbonara,"spaghetti, egg, cheese, bacon, black pepper",1. Boil spaghetti. 2. Cook bacon until crispy. 3. Mix eggs and cheese. 4. Combine everything and serve.
"cheese, bread, butter",Grilled Cheese Sandwich,"bread, butter, cheese",1. Butter bread slices. 2. Add cheese between slices. 3. Grill until golden brown. 4. Serve hot.
"milk, banana, honey",Banana Smoothie,"banana, milk, honey","1. Blend banana, milk, and honey. 2. Pour into a glass. 3. Serve chilled."
"butter, garlic, onion, black pepper",Tomato Soup,"tomato, garlic, onion, butter, black pepper",1. Sauté onions and garlic in butter. 2. Add chopped tomatoes and cook. 3. Blend smooth and season. 4. Serve hot.
"spaghetti, black pepper, bacon",Spaghetti Carbonara,"spaghetti, egg, cheese, bacon, black pepper",1. Boil spaghetti. 2. Cook bacon until crispy. 3. Mix eggs and cheese. 4. Combine everything and serve.
"black pepper, bacon, spaghetti",Spaghetti Carbonara,"spaghetti, egg, cheese, bacon, black pepper",1. Boil spaghetti. 2. Cook bacon until crispy. 3. Mix eggs and cheese. 4. Combine everything and serve.
"chicken, butter, pasta, garlic, cream, parmesan cheese",Chicken Alfredo,"chicken, pasta, cream, garlic, butter, parmesan cheese","1. Cook pasta. 2. Sauté chicken with garlic. 3. Add cream, butter, and cheese. 4. Mix with pasta and serve."
"parmesan cheese, garlic, pasta, cream, chicken",Chicken Alfredo,"chicken, pasta, cream, garlic, butter, parmesan cheese","1. Cook pasta. 2. Sauté chicken with garlic. 3. Add cream, butter, and cheese. 4. Mix with pasta and serve."
"butter, cheese, bread",Grilled Cheese Sandwich,"bread, butter, cheese",1. Butter bread slices. 2. Add cheese between slices. 3. Grill until golden brown. 4. Serve hot.
"bell pepper, soy sauce, olive oil, broccoli, carrot",Vegetable Stir Fry,"broccoli, carrot, bell pepper, soy sauce, garlic, olive oil",1. Chop vegetables. 2. Stir-fry in olive oil. 3. Add soy sauce and garlic. 4. Cook until tender and serve.
"bread, cheese, butter",Grilled Cheese Sandwich,"bread, butter, cheese",1. Butter bread slices. 2. Add cheese between slices. 3. Grill until golden brown. 4. Serve hot.
"butter, pasta, parmesan cheese",Chicken Alfredo,"chicken, pasta, cream, garlic, butter, parmesan cheese","1. Cook pasta. 2. Sauté chicken with garlic. 3. Add cream, butter, and cheese. 4. Mix with pasta and serve."
"garlic, broccoli, olive oil, soy sauce, bell pepper, carrot",Vegetable Stir Fry,"broccoli, carrot, bell pepper, soy sauce, garlic, olive oil",1. Chop vegetables. 2. Stir-fry in olive oil. 3. Add soy sauce and garlic. 4. Cook until tender and serve.
"turmeric, chicken, yogurt, cumin, garlic",Chicken Biryani,"chicken, rice, yogurt, garlic, cumin, turmeric",1. Marinate chicken in yogurt and spices. 2. Cook rice with spices. 3. Layer chicken and rice together. 4. Serve hot.
"garlic, rice, cumin, chicken, yogurt, turmeric",Chicken Biryani,"chicken, rice, yogurt, garlic, cumin, turmeric",1. Marinate chicken in yogurt and spices. 2. Cook rice with spices. 3. Layer chicken and rice together. 4. Serve hot.
"bell pepper, olive oil, broccoli, garlic",Vegetable Stir Fry,"broccoli, carrot, bell pepper, soy sauce, garlic, olive oil",1. Chop vegetables. 2. Stir-fry in olive oil. 3. Add soy sauce and garlic. 4. Cook until tender and serve.
"bell pepper, broccoli, garlic, carrot, olive oil, soy sauce",Vegetable Stir Fry,"broccoli, carrot, bell pepper, soy sauce, garlic, olive oil",1. Chop vegetables. 2. Stir-fry in olive oil. 3. Add soy sauce and garlic. 4. Cook until tender and serve.
"garlic, turmeric, cumin, chicken",Chicken Biryani,"chicken, rice, yogurt, garlic, cumin, turmeric",1. Marinate chicken in yogurt and spices. 2. Cook rice with spices. 3. Layer chicken and rice together. 4. Serve hot.
"chicken, rice, cumin, yogurt, garlic, turmeric",Chicken Biryani,"chicken, rice, yogurt, garlic, cumin, turmeric",1. Marinate chicken in yogurt and spices. 2. Cook rice with spices. 3. Layer chicken and rice together. 4. Serve hot.
"bread, parsley, garlic, butter",Garlic Bread,"bread, butter, garlic, parsley",1. Mix butter with minced garlic and parsley. 2. Spread on bread. 3. Bake until golden brown. 4. Serve hot.
"egg, butter, flour, sugar, milk",Pancakes,"flour, milk, egg, sugar, butter","1. Mix flour, milk, egg, and sugar. 2. Cook on a greased pan. 3. Flip when bubbles appear. 4. Serve with butter and syrup."
"turmeric, garlic, cumin, rice, yogurt",Chicken Biryani,"chicken, rice, yogurt, garlic, cumin, turmeric",1. Marinate chicken in yogurt and spices. 2. Cook rice with spices. 3. Layer chicken and rice together. 4. Serve hot.
"soy sauce, rice, egg, garlic",Egg Fried Rice,"rice, egg, soy sauce, garlic, spring onion",1. Scramble eggs in a pan. 2. Add cooked rice and soy sauce. 3. Stir-fry with garlic and onions. 4. Serve hot.
"cheese, butter, bread",Grilled Cheese Sandwich,"bread, butter, cheese",1. Butter bread slices. 2. Add cheese between slices. 3. Grill until golden brown. 4. Serve hot.
"egg, butter, milk, sugar",Pancakes,"flour, milk, egg, sugar, butter","1. Mix flour, milk, egg, and sugar. 2. Cook on a greased pan. 3. Flip when bubbles appear. 4. Serve with butter and syrup."
"black pepper, butter, tomato, garlic, onion",Tomato Soup,"tomato, garlic, onion, butter, black pepper",1. Sauté onions and garlic in butter. 2. Add chopped tomatoes and cook. 3. Blend smooth and season. 4. Serve hot.
"parmesan cheese, chicken, garlic, pasta, cream, butter",Chicken Alfredo,"chicken, pasta, cream, garlic, butter, parmesan cheese","1. Cook pasta. 2. Sauté chicken with garlic. 3. Add cream, butter, and cheese. 4. Mix with pasta and serve."
"turmeric, chicken, rice, yogurt, garlic, cumin",Chicken Biryani,"chicken, rice, yogurt, garlic, cumin, turmeric",1. Marinate chicken in yogurt and spices. 2. Cook rice with spices. 3. Layer chicken and rice together. 4. Serve hot.
"bread, butter, cheese",Grilled Cheese Sandwich,"bread, butter, cheese",1. Butter bread slices. 2. Add cheese between slices. 3. Grill until golden brown. 4. Serve hot.
"milk, honey, banana",Banana Smoothie,"banana, milk, honey","1. Blend banana, milk, and honey. 2. Pour into a glass. 3. Serve chilled."
"parsley, garlic, butter, bread",Garlic Bread,"bread, butter, garlic, parsley",1. Mix butter with minced garlic and parsley. 2. Spread on bread. 3. Bake until golden brown. 4. Serve hot.
"cheese, bacon, egg, spaghetti",Spaghetti Carbonara,"spaghetti, egg, cheese, bacon, black pepper",1. Boil spaghetti. 2. Cook bacon until crispy. 3. Mix eggs and cheese. 4. Combine everything and serve.
"cream, parmesan cheese, butter, garlic",Chicken Alfredo,"chicken, pasta, cream, garlic, butter, parmesan cheese","1. Cook pasta. 2. Sauté chicken with garlic. 3. Add cream, butter, and cheese. 4. Mix with pasta and serve."
"garlic, carrot, olive oil, bell pepper, broccoli, soy sauce",Vegetable Stir Fry,"broccoli, carrot, bell pepper, soy sauce, garlic, olive oil",1. Chop vegetables. 2. Stir-fry in olive oil. 3. Add soy sauce and garlic. 4. Cook until tender and serve.
"egg, butter, sugar, milk",Pancakes,"flour, milk, egg, sugar, butter","1. Mix flour, milk, egg, and sugar. 2. Cook on a greased pan. 3. Flip when bubbles appear. 4. Serve with butter and syrup."
"butter, pasta, parmesan cheese, garlic, cream, chicken",Chicken Alfredo,"chicken, pasta, cream, garlic, butter, parmesan cheese","1. Cook pasta. 2. Sauté chicken with garlic. 3. Add cream, butter, and cheese. 4. Mix with pasta and serve."
"cheese, bread, butter",Grilled Cheese Sandwich,"bread, butter, cheese",1. Butter bread slices. 2. Add cheese between slices. 3. Grill until golden brown. 4. Serve hot.
"honey, milk, banana",Banana Smoothie,"banana, milk, honey","1. Blend banana, milk, and honey. 2. Pour into a glass. 3. Serve chilled."
"butter, cheese, bread",Grilled Cheese Sandwich,"bread, butter, cheese",1. Butter bread slices. 2. Add cheese between slices. 3. Grill until golden brown. 4. Serve hot.
"black pepper, garlic, onion",Tomato Soup,"tomato, garlic, onion, butter, black pepper",1. Sauté onions and garlic in butter. 2. Add chopped tomatoes and cook. 3. Blend smooth and season. 4. Serve hot.
"garlic, bread, butter",Garlic Bread,"bread, butter, garlic, parsley",1. Mix butter with minced garlic and parsley. 2. Spread on bread. 3. Bake until golden brown. 4. Serve hot.
"milk, banana, honey",Banana Smoothie,"banana, milk, honey","1. Blend banana, milk, and honey. 2. Pour into a glass. 3. Serve chilled."
"egg, sugar, milk, flour",Pancakes,"flour, milk, egg, sugar, butter","1. Mix flour, milk, egg, and sugar. 2. Cook on a greased pan. 3. Flip when bubbles appear. 4. Serve with butter and syrup."
"butter, black pepper, garlic",Tomato Soup,"tomato, garlic, onion, butter, black pepper",1. Sauté onions and garlic in butter. 2. Add chopped tomatoes and cook. 3. Blend smooth and season. 4. Serve hot.
"honey, banana, milk",Banana Smoothie,"banana, milk, honey","1. Blend banana, milk, and honey. 2. Pour into a glass. 3. Serve chilled."
"soy sauce, spring onion, garlic, rice, egg",Egg Fried Rice,"rice, egg, soy sauce, garlic, spring onion",1. Scramble eggs in a pan. 2. Add cooked rice and soy sauce. 3. Stir-fry with garlic and onions. 4. Serve hot.
"garlic, parsley, bread, butter",Garlic Bread,"bread, butter, garlic, parsley",1. Mix butter with minced garlic and parsley. 2. Spread on bread. 3. Bake until golden brown. 4. Serve hot.
"parmesan cheese, butter, garlic, pasta, cream, chicken",Chicken Alfredo,"chicken, pasta, cream, garlic, butter, parmesan cheese","1. Cook pasta. 2. Sauté chicken with garlic. 3. Add cream, butter, and cheese. 4. Mix with pasta and serve."
"cream, butter, garlic, chicken, parmesan cheese, pasta",Chicken Alfredo,"chicken, pasta, cream, garlic, butter, parmesan cheese","1. Cook pasta. 2. Sauté chicken with garlic. 3. Add cream, butter, and cheese. 4. Mix with pasta and serve."
"butter, parsley, bread",Garlic Bread,"bread, butter, garlic, parsley",1. Mix butter with minced garlic and parsley. 2. Spread on bread. 3. Bake until golden brown. 4. Serve hot.
"pasta, butter, cream, parmesan cheese, garlic",Chicken Alfredo,"chicken, pasta, cream, garlic, butter, parmesan cheese","1. Cook pasta. 2. Sauté chicken with garlic. 3. Add cream, butter, and cheese. 4. Mix with pasta and serve."
"yogurt, cumin, chicken, turmeric",Chicken Biryani,"chicken, rice, yogurt, garlic, cumin, turmeric",1. Marinate chicken in yogurt and spices. 2. Cook rice with spices. 3. Layer chicken and rice together. 4. Serve hot.
