available_ingredients,recipe_name,recipe_ingredients,instructions
"olive oil, bell pepper, carrot, soy sauce",Vegetable Stir Fry,"broccoli, carrot, bell pepper, soy sauce, garlic, olive oil",1. Chop vegetables. 2. Stir-fry in olive oil. 3. Add soy sauce and garlic. 4. Cook until tender and serve.
"parmesan cheese, chicken, cream, garlic, pasta, butter",Chicken Alfredo,"chicken, pasta, cream, garlic, butter, parmesan cheese","1. Cook pasta. 2. Sauté chicken with garlic. 3. Add cream, butter, and cheese. 4. Mix with pasta and serve."
"honey, banana, milk",Banana Smoothie,"banana, milk, honey","1. Blend banana, milk, and honey. 2. Pour into a glass. 3. Serve chilled."
"bread, garlic, parsley, butter",Garlic Bread,"bread, butter, garlic, parsley",1. Mix butter with minced garlic and parsley. 2. Spread on bread. 3. Bake until golden brown. 4. Serve hot.
"spaghetti, cheese, black pepper, egg, bacon",Spaghetti Carbonara,"spaghetti, egg, cheese, bacon, black pepper",1. Boil spaghetti. 2. Cook bacon until crispy. 3. Mix eggs and cheese. 4. Combine everything and serve.
"garlic, spring onion, rice, egg, soy sauce",Egg Fried Rice,"rice, egg, soy sauce, garlic, spring onion",1. Scramble eggs in a pan. 2. Add cooked rice and soy sauce. 3. Stir-fry with garlic and onions. 4. Serve hot.
"tomato, garlic, black pepper, butter",Tomato Soup,"tomato, garlic, onion, butter, black pepper",1. Sauté onions and garlic in butter. 2. Add chopped tomatoes and cook. 3. Blend smooth and season. 4. Serve hot.
"soy sauce, rice, garlic",Egg Fried Rice,"rice, egg, soy sauce, garlic, spring onion",1. Scramble eggs in a pan. 2. Add cooked rice and soy sauce. 3. Stir-fry with garlic and onions. 4. Serve hot.
"olive oil, broccoli, soy sauce, garlic, bell pepper",Vegetable Stir Fry,"broccoli, carrot, bell pepper, soy sauce, garlic, olive oil",1. Chop vegetables. 2. Stir-fry in olive oil. 3. Add soy sauce and garlic. 4. Cook until tender and serve.
"bread, garlic, parsley, butter",Garlic Bread,"bread, butter, garlic, parsley",1. Mix butter with minced garlic and parsley. 2. Spread on bread. 3. Bake until golden brown. 4. Serve hot.
"egg, spring onion, rice, garlic, soy sauce",Egg Fried Rice,"rice, egg, soy sauce, garlic, spring onion",1. Scramble eggs in a pan. 2. Add cooked rice and soy sauce. 3. Stir-fry with garlic and onions. 4. Serve hot.
"broccoli, carrot, bell pepper, soy sauce, garlic, olive oil",Vegetable Stir Fry,"broccoli, carrot, bell pepper, soy sauce, garlic, olive oil",1. Chop vegetables. 2. Stir-fry in olive oil. 3. Add soy sauce and garlic. 4. Cook until tender and serve.
"onion, tomato, garlic, butter, black pepper",Tomato Soup,"tomato, garlic, onion, butter, black pepper",1. Sauté onions and garlic in butter. 2. Add chopped tomatoes and cook. 3. Blend smooth and season. 4. Serve hot.
"butter, cheese, bread",Grilled Cheese Sandwich,"bread, butter, cheese",1. Butter bread slices. 2. Add cheese between slices. 3. Grill until golden brown. 4. Serve hot.
"milk, flour, egg, sugar",Pancakes,"flour, milk, egg, sugar, butter","1. Mix flour, milk, egg, and sugar. 2. Cook on a greased pan. 3. Flip when bubbles appear. 4. Serve with butter and syrup."
"banana, honey, milk",Banana Smoothie,"banana, milk, honey","1. Blend banana, milk, and honey. 2. Pour into a glass. 3. Serve chilled."
"parsley, bread, garlic, butter",Garlic Bread,"bread, butter, garlic, parsley",1. Mix butter with minced garlic and parsley. 2. Spread on bread. 3. Bake until golden brown. 4. Serve hot.
"egg, cheese, black pepper, bacon, spaghetti",Spaghetti Carbonara,"spaghetti, egg, cheese, bacon, black pepper",1. Boil spaghetti. 2. Cook bacon until crispy. 3. Mix eggs and cheese. 4. Combine everything and serve.
"tomato, garlic, black pepper, butter, onion",Tomato Soup,"tomato, garlic, onion, butter, black pepper",1. Sauté onions and garlic in butter. 2. Add chopped tomatoes and cook. 3. Blend smooth and season. 4. Serve hot.
"cheese, bacon, egg, black pepper, spaghetti",Spaghetti Carbonara,"spaghetti, egg, cheese, bacon, black pepper",1. Boil spaghetti. 2. Cook bacon until crispy. 3. Mix eggs and cheese. 4. Combine everything and serve.
"butter, garlic, black pepper, onion",Tomato Soup,"tomato, garlic, onion, butter, black pepper",1. Sauté onions and garlic in butter. 2. Add chopped tomatoes and cook. 3. Blend smooth and season. 4. Serve hot.
"bread, parsley, garlic, butter",Garlic Bread,"bread, butter, garlic, parsley",1. Mix butter with minced garlic and parsley. 2. Spread on bread. 3. Bake until golden brown. 4. Serve hot.
"garlic, parsley, butter, bread",Garlic Bread,"bread, butter, garlic, parsley",1. Mix butter with minced garlic and parsley. 2. Spread on bread. 3. Bake until golden brown. 4. Serve hot.
"sugar, butter, egg, milk",Pancakes,"flour, milk, egg, sugar, butter","1. Mix flour, milk, egg, and sugar. 2. Cook on a greased pan. 3. Flip when bubbles appear. 4. Serve with butter and syrup."
"flour, egg, butter, milk, sugar",Pancakes,"flour, milk, egg, sugar, butter","1. Mix flour, milk, egg, and sugar. 2. Cook on a greased pan. 3. Flip when bubbles appear. 4. Serve with butter and syrup."
"parmesan cheese, cream, garlic, chicken",Chicken Alfredo,"chicken, pasta, cream, garlic, butter, parmesan cheese","1. Cook pasta. 2. Sauté chicken with garlic. 3. Add cream, butter, and cheese. 4. Mix with pasta and serve."
"egg, spaghetti, bacon, black pepper",Spaghetti Carbonara,"spaghetti, egg, cheese, bacon, black pepper",1. Boil spaghetti. 2. Cook bacon until crispy. 3. Mix eggs and cheese. 4. Combine everything and serve.
"black pepper, tomato, onion",Tomato Soup,"tomato, garlic, onion, butter, black pepper",1. Sauté onions and garlic in butter. 2. Add chopped tomatoes and cook. 3. Blend smooth and season. 4. Serve hot.
"bacon, egg, black pepper",Spaghetti Carbonara,"spaghetti, egg, cheese, bacon, black pepper",1. Boil spaghetti. 2. Cook bacon until crispy. 3. Mix eggs and cheese. 4. Combine everything and serve.
"parmesan cheese, butter, chicken, cream",Chicken Alfredo,"chicken, pasta, cream, garlic, butter, parmesan cheese","1. Cook pasta. 2. Sauté chicken with garlic. 3. Add cream, butter, and cheese. 4. Mix with pasta and serve."
"garlic, turmeric, chicken",Chicken Biryani,"chicken, rice, yogurt, garlic, cumin, turmeric",1. Marinate chicken in yogurt and spices. 2. Cook rice with spices. 3. Layer chicken and rice together. 4. Serve hot.
"bacon, cheese, spaghetti",Spaghetti Carbonara,"spaghetti, egg, cheese, bacon, black pepper",1. Boil spaghetti. 2. Cook bacon until crispy. 3. Mix eggs and cheese. 4. Combine everything and serve.
"honey, banana, milk",Banana Smoothie,"banana, milk, honey","1. Blend banana, milk, and honey. 2. Pour into a glass. 3. Serve chilled."
"bell pepper, broccoli, soy sauce, olive oil, garlic, carrot",Vegetable Stir Fry,"broccoli, carrot, bell pepper, soy sauce, garlic, olive oil",1. Chop vegetables. 2. Stir-fry in olive oil. 3. Add soy sauce and garlic. 4. Cook until tender and serve.
"honey, milk, banana",Banana Smoothie,"banana, milk, honey","1. Blend banana, milk, and honey. 2. Pour into a glass. 3. Serve chilled."
"sugar, milk, egg",Pancakes,"flour, milk, egg, sugar, butter","1. Mix flour, milk, egg, and sugar. 2. Cook on a greased pan. 3. Flip when bubbles appear. 4. Serve with butter and syrup."
"garlic, egg, rice, spring onion",Egg Fried Rice,"rice, egg, soy sauce, garlic, spring onion",1. Scramble eggs in a pan. 2. Add cooked rice and soy sauce. 3. Stir-fry with garlic and onions. 4. Serve hot.
"bread, garlic, butter",Garlic Bread,"bread, butter, garlic, parsley",1. Mix butter with minced garlic and parsley. 2. Spread on bread. 3. Bake until golden brown. 4. Serve hot.
"garlic, black pepper, onion, tomato",Tomato Soup,"tomato, garlic, onion, butter, black pepper",1. Sauté onions and garlic in butter. 2. Add chopped tomatoes and cook. 3. Blend smooth and season. 4. Serve hot.
"egg, butter, flour, milk, sugar",Pancakes,"flour, milk, egg, sugar, butter","1. Mix flour, milk, egg, and sugar. 2. Cook on a greased pan. 3. Flip when bubbles appear. 4. Serve with butter and syrup."
"banana, honey, milk",Banana Smoothie,"banana, milk, honey","1. Blend banana, milk, and honey. 2. Pour into a glass. 3. Serve chilled."
"bacon, cheese, egg, spaghetti, black pepper",Spaghetti Carbonara,"spaghetti, egg, cheese, bacon, black pepper",1. Boil spaghetti. 2. Cook bacon until crispy. 3. Mix eggs and cheese. 4. Combine everything and serve.
"banana, milk, honey",Banana Smoothie,"banana, milk, honey","1. Blend banana, milk, and honey. 2. Pour into a glass. 3. Serve chilled."
"bacon, egg, black pepper, spaghetti, cheese",Spaghetti Carbonara,"spaghetti, egg, cheese, bacon, black pepper",1. Boil spaghetti. 2. Cook bacon until crispy. 3. Mix eggs and cheese. 4. Combine everything and serve.
"broccoli, garlic, olive oil, bell pepper",Vegetable Stir Fry,"broccoli, carrot, bell pepper, soy sauce, garlic, olive oil",1. Chop vegetables. 2. Stir-fry in olive oil. 3. Add soy sauce and garlic. 4. Cook until tender and serve.
"parmesan cheese, cream, chicken, butter, garlic",Chicken Alfredo,"chicken, pasta, cream, garlic, butter, parmesan cheese","1. Cook pasta. 2. Sauté chicken with garlic. 3. Add cream, butter, and cheese. 4. Mix with pasta and serve."
"soy sauce, garlic, rice, egg, spring onion",Egg Fried Rice,"rice, egg, soy sauce, garlic, spring onion",1. Scramble eggs in a pan. 2. Add cooked rice and soy sauce. 3. Stir-fry with garlic and onions. 4. Serve hot.
"parsley, garlic, butter",Garlic Bread,"bread, butter, garlic, parsley",1. Mix butter with minced garlic and parsley. 2. Spread on bread. 3. Bake until golden brown. 4. Serve hot.
"bread, butter, cheese",Grilled Cheese Sandwich,"bread, butter, cheese",1. Butter bread slices. 2. Add cheese between slices. 3. Grill until golden brown. 4. Serve hot.
"cheese, butter, bread",Grilled Cheese Sandwich,"bread, butter, cheese",1. Butter bread slices. 2. Add cheese between slices. 3. Grill until golden brown. 4. Serve hot.
"egg, spaghetti, bacon, cheese",Spaghetti Carbonara,"spaghetti, egg, cheese, bacon, black pepper",1. Boil spaghetti. 2. Cook bacon until crispy. 3. Mix eggs and cheese. 4. Combine everything and serve.
"yogurt, rice, cumin, turmeric, garlic",Chicken Biryani,"chicken, rice, yogurt, garlic, cumin, turmeric",1. Marinate chicken in yogurt and spices. 2. Cook rice with spices. 3. Layer chicken and rice together. 4. Serve hot.
"garlic, rice, egg, spring onion",Egg Fried Rice,"rice, egg, soy sauce, garlic, spring onion",1. Scramble eggs in a pan. 2. Add cooked rice and soy sauce. 3. Stir-fry with garlic and onions. 4. Serve hot.
"pasta, butter, chicken, cream, parmesan cheese",Chicken Alfredo,"chicken, pasta, cream, garlic, butter, parmesan cheese","1. Cook pasta. 2. Sauté chicken with garlic. 3. Add cream, butter, and cheese. 4. Mix with pasta and serve."
"egg, spaghetti, bacon",Spaghetti Carbonara,"spaghetti, egg, cheese, bacon, black pepper",1. Boil spaghetti. 2. Cook bacon until crispy. 3. Mix eggs and cheese. 4. Combine everything and serve.
"butter, bread, garlic, parsley",Garlic Bread,"bread, butter, garlic, parsley",1. Mix butter with minced garlic and parsley. 2. Spread on bread. 3. Bake until golden brown. 4. Serve hot.
"milk, butter, flour, sugar, egg",Pancakes,"flour, milk, egg, sugar, butter","1. Mix flour, milk, egg, and sugar. 2. Cook on a greased pan. 3. Flip when bubbles appear. 4. Serve with butter and syrup."
"garlic, broccoli, olive oil, bell pepper, soy sauce",Vegetable Stir Fry,"broccoli, carrot, bell pepper, soy sauce, garlic, olive oil",1. Chop vegetables. 2. Stir-fry in olive oil. 3. Add soy sauce and garlic. 4. Cook until tender and serve.
"chicken, garlic, cumin, yogurt, rice",Chicken Biryani,"chicken, rice, yogurt, garlic, cumin, turmeric",1. Marinate chicken in yogurt and spices. 2. Cook rice with spices. 3. Layer chicken and rice together. 4. Serve hot.
"cumin, turmeric, garlic, yogurt, chicken, rice",Chicken Biryani,"chicken, rice, yogurt, garlic, cumin, turmeric",1. Marinate chicken in yogurt and spices. 2. Cook rice with spices. 3. Layer chicken and rice together. 4. Serve hot.
"cheese, bread, butter",Grilled Cheese Sandwich,"bread, butter, cheese",1. Butter bread slices. 2. Add cheese between slices. 3. Grill until golden brown. 4. Serve hot.
"garlic, cream, pasta, butter, chicken, parmesan cheese",Chicken Alfredo,"chicken, pasta, cream, garlic, butter, parmesan cheese","1. Cook pasta. 2. Sauté chicken with garlic. 3. Add cream, butter, and cheese. 4. Mix with pasta and serve."
"turmeric, chicken, rice",Chicken Biryani,"chicken, rice, yogurt, garlic, cumin, turmeric",1. Marinate chicken in yogurt and spices. 2. Cook rice with spices. 3. Layer chicken and rice together. 4. Serve hot.
"cream, parmesan cheese, pasta, butter",Chicken Alfredo,"chicken, pasta, cream, garlic, butter, parmesan cheese","1. Cook pasta. 2. Sauté chicken with garlic. 3. Add cream, butter, and cheese. 4. Mix with pasta and serve."
"milk, banana, honey",Banana Smoothie,"banana, milk, honey","1. Blend banana, milk, and honey. 2. Pour into a glass. 3. Serve chilled."
"butter, cheese, bread",Grilled Cheese Sandwich,"bread, butter, cheese",1. Butter bread slices. 2. Add cheese between slices. 3. Grill until golden brown. 4. Serve hot.
"banana, honey, milk",Banana Smoothie,"banana, milk, honey","1. Blend banana, milk, and honey. 2. Pour into a glass. 3. Serve chilled."
"soy sauce, egg, rice, garlic, spring onion",Egg Fried Rice,"rice, egg, soy sauce, garlic, spring onion",1. Scramble eggs in a pan. 2. Add cooked rice and soy sauce. 3. Stir-fry with garlic and onions. 4. Serve hot.
"egg, soy sauce, rice, spring onion, garlic",Egg Fried Rice,"rice, egg, soy sauce, garlic, spring onion",1. Scramble eggs in a pan. 2. Add cooked rice and soy sauce. 3. Stir-fry with garlic and onions. 4. Serve hot.
"soy sauce, broccoli, garlic, olive oil",Vegetable Stir Fry,"broccoli, carrot, bell pepper, soy sauce, garlic, olive oil",1. Chop vegetables. 2. Stir-fry in olive oil. 3. Add soy sauce and garlic. 4. Cook until tender and serve.
"rice, chicken, cumin, turmeric, yogurt",Chicken Biryani,"chicken, rice, yogurt, garlic, cumin, turmeric",1. Marinate chicken in yogurt and spices. 2. Cook rice with spices. 3. Layer chicken and rice together. 4. Serve hot.
"honey, banana, milk",Banana Smoothie,"banana, milk, honey","1. Blend banana, milk, and honey. 2. Pour into a glass. 3. Serve chilled."
"milk, honey, banana",Banana Smoothie,"banana, milk, honey","1. Blend banana, milk, and honey. 2. Pour into a glass. 3. Serve chilled."
"olive oil, carrot, garlic, bell pepper",Vegetable Stir Fry,"broccoli, carrot, bell pepper, soy sauce, garlic, olive oil",1. Chop vegetables. 2. Stir-fry in olive oil. 3. Add soy sauce and garlic. 4. Cook until tender and serve.
"cheese, butter, bread",Grilled Cheese Sandwich,"bread, butter, cheese",1. Butter bread slices. 2. Add cheese between slices. 3. Grill until golden brown. 4. Serve hot.
"flour, butter, milk",Pancakes,"flour, milk, egg, sugar, butter","1. Mix flour, milk, egg, and sugar. 2. Cook on a greased pan. 3. Flip when bubbles appear. 4. Serve with butter and syrup."
"egg, garlic, spring onion, soy sauce",Egg Fried Rice,"rice, egg, soy sauce, garlic, spring onion",1. Scramble eggs in a pan. 2. Add cooked rice and soy sauce. 3. Stir-fry with garlic and onions. 4. Serve hot.
"egg, cheese, black pepper, bacon, spaghetti",Spaghetti Carbonara,"spaghetti, egg, cheese, bacon, black pepper",1. Boil spaghetti. 2. Cook bacon until crispy. 3. Mix eggs and cheese. 4. Combine everything and serve.
"cheese, bread, butter",Grilled Cheese Sandwich,"bread, butter, cheese",1. Butter bread slices. 2. Add cheese between slices. 3. Grill until golden brown. 4. Serve hot.
"egg, garlic, rice, spring onion",Egg Fried Rice,"rice, egg, soy sauce, garlic, spring onion",1. Scramble eggs in a pan. 2. Add cooked rice and soy sauce. 3. Stir-fry with garlic and onions. 4. Serve hot.
"garlic, black pepper, onion, tomato, butter",Tomato Soup,"tomato, garlic, onion, butter, black pepper",1. Sauté onions and garlic in butter. 2. Add chopped tomatoes and cook. 3. Blend smooth and season. 4. Serve hot.
"garlic, broccoli, bell pepper",Vegetable Stir Fry,"broccoli, carrot, bell pepper, soy sauce, garlic, olive oil",1. Chop vegetables. 2. Stir-fry in olive oil. 3. Add soy sauce and garlic. 4. Cook until tender and serve.
"tomato, onion, black pepper, garlic, butter",Tomato Soup,"tomato, garlic, onion, butter, black pepper",1. Sauté onions and garlic in butter. 2. Add chopped tomatoes and cook. 3. Blend smooth and season. 4. Serve hot.
"parmesan cheese, garlic, cream, pasta, butter",Chicken Alfredo,"chicken, pasta, cream, garlic, butter, parmesan cheese","1. Cook pasta. 2. Sauté chicken with garlic. 3. Add cream, butter, and cheese. 4. Mix with pasta and serve."
"milk, honey, banana",Banana Smoothie,"banana, milk, honey","1. Blend banana, milk, and honey. 2. Pour into a glass. 3. Serve chilled."
"pasta, garlic, cream",Chicken Alfredo,"chicken, pasta, cream, garlic, butter, parmesan cheese","1. Cook pasta. 2. Sauté chicken with garlic. 3. Add cream, butter, and cheese. 4. Mix with pasta and serve."
"egg, soy sauce, spring onion, rice, garlic",Egg Fried Rice,"rice, egg, soy sauce, garlic, spring onion",1. Scramble eggs in a pan. 2. Add cooked rice and soy sauce. 3. Stir-fry with garlic and onions. 4. Serve hot.
"chicken, cream, butter, garlic, parmesan cheese, pasta",Chicken Alfredo,"chicken, pasta, cream, garlic, butter, parmesan cheese","1. Cook pasta. 2. Sauté chicken with garlic. 3. Add cream, butter, and cheese. 4. Mix with pasta and serve."
"soy sauce, carrot, bell pepper, olive oil",Vegetable Stir Fry,"broccoli, carrot, bell pepper, soy sauce, garlic, olive oil",1. Chop vegetables. 2. Stir-fry in olive oil. 3. Add soy sauce and garlic. 4. Cook until tender and serve.
"garlic, onion, black pepper, tomato, butter",Tomato Soup,"tomato, garlic, onion, butter, black pepper",1. Sauté onions and garlic in butter. 2. Add chopped tomatoes and cook. 3. Blend smooth and season. 4. Serve hot.
"black pepper, bacon, egg, cheese",Spaghetti Carbonara,"spaghetti, egg, cheese, bacon, black pepper",1. Boil spaghetti. 2. Cook bacon until crispy. 3. Mix eggs and cheese. 4. Combine everything and serve.
"chicken, butter, parmesan cheese, cream, pasta",Chicken Alfredo,"chicken, pasta, cream, garlic, butter, parmesan cheese","1. Cook pasta. 2. Sauté chicken with garlic. 3. Add cream, butter, and cheese. 4. Mix with pasta and serve."
"onion, tomato, black pepper, garlic, butter",Tomato Soup,"tomato, garlic, onion, butter, black pepper",1. Sauté onions and garlic in butter. 2. Add chopped tomatoes and cook. 3. Blend smooth and season. 4. Serve hot.
"garlic, turmeric, cumin, yogurt, chicken, rice",Chicken Biryani,"chicken, rice, yogurt, garlic, cumin, turmeric",1. Marinate chicken in yogurt and spices. 2. Cook rice with spices. 3. Layer chicken and rice together. 4. Serve hot.
"black pepper, cheese, bacon",Spaghetti Carbonara,"spaghetti, egg, cheese, bacon, black pepper",1. Boil spaghetti. 2. Cook bacon until crispy. 3. Mix eggs and cheese. 4. Combine everything and serve.
"bread, parsley, garlic, butter",Garlic Bread,"bread, butter, garlic, parsley",1. Mix butter with minced garlic and parsley. 2. Spread on bread. 3. Bake until golden brown. 4. Serve hot.
"cream, butter, parmesan cheese",Chicken Alfredo,"chicken, pasta, cream, garlic, butter, parmesan cheese","1. Cook pasta. 2. Sauté chicken with garlic. 3. Add cream, butter, and cheese. 4. Mix with pasta and serve."
"soy sauce, egg, garlic, rice",Egg Fried Rice,"rice, egg, soy sauce, garlic, spring onion",1. Scramble eggs in a pan. 2. Add cooked rice and soy sauce. 3. Stir-fry with garlic and onions. 4. Serve hot.
"tomato, onion, butter, garlic",Tomato Soup,"tomato, garlic, onion, butter, black pepper",1. Sauté onions and garlic in butter. 2. Add chopped tomatoes and cook. 3. Blend smooth and season. 4. Serve hot.
"bread, butter, cheese",Grilled Cheese Sandwich,"bread, butter, cheese",1. Butter bread slices. 2. Add cheese between slices. 3. Grill until golden brown. 4. Serve hot.
"garlic, soy sauce, broccoli, carrot, bell pepper",Vegetable Stir Fry,"broccoli, carrot, bell pepper, soy sauce, garlic, olive oil",1. Chop vegetables. 2. Stir-fry in olive oil. 3. Add soy sauce and garlic. 4. Cook until tender and serve.
"bell pepper, olive oil, garlic, carrot",Vegetable Stir Fry,"broccoli, carrot, bell pepper, soy sauce, garlic, olive oil",1. Chop vegetables. 2. Stir-fry in olive oil. 3. Add soy sauce and garlic. 4. Cook until tender and serve.
"egg, milk, sugar, butter",Pancakes,"flour, milk, egg, sugar, butter","1. Mix flour, milk, egg, and sugar. 2. Cook on a greased pan. 3. Flip when bubbles appear. 4. Serve with butter and syrup."
"garlic, cream, chicken, parmesan cheese, butter",Chicken Alfredo,"chicken, pasta, cream, garlic, butter, parmesan cheese","1. Cook pasta. 2. Sauté chicken with garlic. 3. Add cream, butter, and cheese. 4. Mix with pasta and serve."
"butter, parsley, garlic",Garlic Bread,"bread, butter, garlic, parsley",1. Mix butter with minced garlic and parsley. 2. Spread on bread. 3. Bake until golden brown. 4. Serve hot.
"garlic, broccoli, olive oil, bell pepper, carrot",Vegetable Stir Fry,"broccoli, carrot, bell pepper, soy sauce, garlic, olive oil",1. Chop vegetables. 2. Stir-fry in olive oil. 3. Add soy sauce and garlic. 4. Cook until tender and serve.
"garlic, soy sauce, rice, egg",Egg Fried Rice,"rice, egg, soy sauce, garlic, spring onion",1. Scramble eggs in a pan. 2. Add cooked rice and soy sauce. 3. Stir-fry with garlic and onions. 4. Serve hot.
"bell pepper, olive oil, broccoli, garlic, soy sauce, carrot",Vegetable Stir Fry,"broccoli, carrot, bell pepper, soy sauce, garlic, olive oil",1. Chop vegetables. 2. Stir-fry in olive oil. 3. Add soy sauce and garlic. 4. Cook until tender and serve.
"rice, garlic, soy sauce, spring onion, egg",Egg Fried Rice,"rice, egg, soy sauce, garlic, spring onion",1. Scramble eggs in a pan. 2. Add cooked rice and soy sauce. 3. Stir-fry with garlic and onions. 4. Serve hot.
"garlic, pasta, cream, chicken, parmesan cheese, butter",Chicken Alfredo,"chicken, pasta, cream, garlic, butter, parmesan cheese","1. Cook pasta. 2. Sauté chicken with garlic. 3. Add cream, butter, and cheese. 4. Mix with pasta and serve."
"soy sauce, carrot, broccoli",Vegetable Stir Fry,"broccoli, carrot, bell pepper, soy sauce, garlic, olive oil",1. Chop vegetables. 2. Stir-fry in olive oil. 3. Add soy sauce and garlic. 4. Cook until tender and serve.
"bell pepper, soy sauce, garlic, olive oil",Vegetable Stir Fry,"broccoli, carrot, bell pepper, soy sauce, garlic, olive oil",1. Chop vegetables. 2. Stir-fry in olive oil. 3. Add soy sauce and garlic. 4. Cook until tender and serve.
"garlic, pasta, chicken",Chicken Alfredo,"chicken, pasta, cream, garlic, butter, parmesan cheese","1. Cook pasta. 2. Sauté chicken with garlic. 3. Add cream, butter, and cheese. 4. Mix with pasta and serve."
"banana, honey, milk",Banana Smoothie,"banana, milk, honey","1. Blend banana, milk, and honey. 2. Pour into a glass. 3. Serve chilled."
"milk, banana, honey",Banana Smoothie,"banana, milk, honey","1. Blend banana, milk, and honey. 2. Pour into a glass. 3. Serve chilled."
"honey, banana, milk",Banana Smoothie,"banana, milk, honey","1. Blend banana, milk, and honey. 2. Pour into a glass. 3. Serve chilled."
"bread, garlic, butter",Garlic Bread,"bread, butter, garlic, parsley",1. Mix butter with minced garlic and parsley. 2. Spread on bread. 3. Bake until golden brown. 4. Serve hot.
"egg, butter, milk, flour",Pancakes,"flour, milk, egg, sugar, butter","1. Mix flour, milk, egg, and sugar. 2. Cook on a greased pan. 3. Flip when bubbles appear. 4. Serve with butter and syrup."
"honey, banana, milk",Banana Smoothie,"banana, milk, honey","1. Blend banana, milk, and honey. 2. Pour into a glass. 3. Serve chilled."
"bacon, spaghetti, cheese, black pepper, egg",Spaghetti Carbonara,"spaghetti, egg, cheese, bacon, black pepper",1. Boil spaghetti. 2. Cook bacon until crispy. 3. Mix eggs and cheese. 4. Combine everything and serve.
"banana, honey, milk",Banana Smoothie,"banana, milk, honey","1. Blend banana, milk, and honey. 2. Pour into a glass. 3. Serve chilled."
"banana, honey, milk",Banana Smoothie,"banana, milk, honey","1. Blend banana, milk, and honey. 2. Pour into a glass. 3. Serve chilled."
"broccoli, soy sauce, olive oil, garlic, carrot, bell pepper",Vegetable Stir Fry,"broccoli, carrot, bell pepper, soy sauce, garlic, olive oil",1. Chop vegetables. 2. Stir-fry in olive oil. 3. Add soy sauce and garlic. 4. Cook until tender and serve.
"black pepper, onion, tomato, butter",Tomato Soup,"tomato, garlic, onion, butter, black pepper",1. Sauté onions and garlic in butter. 2. Add chopped tomatoes and cook. 3. Blend smooth and season. 4. Serve hot.
"garlic, egg, rice, soy sauce",Egg Fried Rice,"rice, egg, soy sauce, garlic, spring onion",1. Scramble eggs in a pan. 2. Add cooked rice and soy sauce. 3. Stir-fry with garlic and onions. 4. Serve hot.
