available_ingredients,recipe_name,recipe_ingredients,instructions
"broccoli, garlic, carrot, olive oil, bell pepper",Vegetable Stir Fry,"broccoli, carrot, bell pepper, soy sauce, garlic, olive oil",1. Chop vegetables. 2. Stir-fry in olive oil. 3. Add soy sauce and garlic. 4. Cook until tender and serve.
"broccoli, olive oil, soy sauce, bell pepper, carrot",Vegetable Stir Fry,"broccoli, carrot, bell pepper, soy sauce, garlic, olive oil",1. Chop vegetables. 2. Stir-fry in olive oil. 3. Add soy sauce and garlic. 4. Cook until tender and serve.
"honey, milk, banana",Banana Smoothie,"banana, milk, honey","1. Blend banana, milk, and honey. 2. Pour into a glass. 3. Serve chilled."
"milk, egg, flour, butter",Pancakes,"flour, milk, egg, sugar, butter","1. Mix flour, milk, egg, and sugar. 2. Cook on a greased pan. 3. Flip when bubbles appear. 4. Serve with butter and syrup."
"butter, black pepper, garlic, onion",Tomato Soup,"tomato, garlic, onion, butter, black pepper",1. Sauté onions and garlic in butter. 2. Add chopped tomatoes and cook. 3. Blend smooth and season. 4. Serve hot.
"tomato, black pepper, garlic, onion",Tomato Soup,"tomato, garlic, onion, butter, black pepper",1. Sauté onions and garlic in butter. 2. Add chopped tomatoes and cook. 3. Blend smooth and season. 4. Serve hot.
"milk, honey, banana",Banana Smoothie,"banana, milk, honey","1. Blend banana, milk, and honey. 2. Pour into a glass. 3. Serve chilled."
"cheese, bacon, black pepper",Spaghetti Carbonara,"spaghetti, egg, cheese, bacon, black pepper",1. Boil spaghetti. 2. Cook bacon until crispy. 3. Mix eggs and cheese. 4. Combine everything and serve.
"black pepper, egg, cheese, bacon, spaghetti",Spaghetti Carbonara,"spaghetti, egg, cheese, bacon, black pepper",1. Boil spaghetti. 2. Cook bacon until crispy. 3. Mix eggs and cheese. 4. Combine everything and serve.
"garlic, egg, spring onion, rice, soy sauce",Egg Fried Rice,"rice, egg, soy sauce, garlic, spring onion",1. Scramble eggs in a pan. 2. Add cooked rice and soy sauce. 3. Stir-fry with garlic and onions. 4. Serve hot.
"garlic, tomato, butter, black pepper",Tomato Soup,"tomato, garlic, onion, butter, black pepper",1. Sauté onions and garlic in butter. 2. Add chopped tomatoes and cook. 3. Blend smooth and season. 4. Serve hot.
"garlic, chicken, yogurt, rice, turmeric, cumin",Chicken Biryani,"chicken, rice, yogurt, garlic, cumin, turmeric",1. Marinate chicken in yogurt and spices. 2. Cook rice with spices. 3. Layer chicken and rice together. 4. Serve hot.
"garlic, yogurt, chicken, turmeric, rice, cumin",Chicken Biryani,"chicken, rice, yogurt, garlic, cumin, turmeric",1. Marinate chicken in yogurt and spices. 2. Cook rice with spices. 3. Layer chicken and rice together. 4. Serve hot.
"turmeric, garlic, yogurt, chicken, rice, cumin",Chicken Biryani,"chicken, rice, yogurt, garlic, cumin, turmeric",1. Marinate chicken in yogurt and spices. 2. Cook rice with spices. 3. Layer chicken and rice together. 4. Serve hot.
"banana, honey, milk",Banana Smoothie,"banana, milk, honey","1. Blend banana, milk, and honey. 2. Pour into a glass. 3. Serve chilled."
"spring onion, garlic, rice",Egg Fried Rice,"rice, egg, soy sauce, garlic, spring onion",1. Scramble eggs in a pan. 2. Add cooked rice and soy sauce. 3. Stir-fry with garlic and onions. 4. Serve hot.
"black pepper, egg, bacon",Spaghetti Carbonara,"spaghetti, egg, cheese, bacon, black pepper",1. Boil spaghetti. 2. Cook bacon until crispy. 3. Mix eggs and cheese. 4. Combine everything and serve.
"bell pepper, olive oil, carrot, garlic, broccoli, soy sauce",Vegetable Stir Fry,"broccoli, carrot, bell pepper, soy sauce, garlic, olive oil",1. Chop vegetables. 2. Stir-fry in olive oil. 3. Add soy sauce and garlic. 4. Cook until tender and serve.
"pasta, cream, garlic",Chicken Alfredo,"chicken, pasta, cream, garlic, butter, parmesan cheese","1. Cook pasta. 2. Sauté chicken with garlic. 3. Add cream, butter, and cheese. 4. Mix with pasta and serve."
"garlic, rice, cumin, chicken, yogurt",Chicken Biryani,"chicken, rice, yogurt, garlic, cumin, turmeric",1. Marinate chicken in yogurt and spices. 2. Cook rice with spices. 3. Layer chicken and rice together. 4. Serve hot.
"egg, rice, garlic, spring onion",Egg Fried Rice,"rice, egg, soy sauce, garlic, spring onion",1. Scramble eggs in a pan. 2. Add cooked rice and soy sauce. 3. Stir-fry with garlic and onions. 4. Serve hot.
"butter, black pepper, garlic, tomato",Tomato Soup,"tomato, garlic, onion, butter, black pepper",1. Sauté onions and garlic in butter. 2. Add chopped tomatoes and cook. 3. Blend smooth and season. 4. Serve hot.
"rice, garlic, chicken, yogurt, cumin, turmeric",Chicken Biryani,"chicken, rice, yogurt, garlic, cumin, turmeric",1. Marinate chicken in yogurt and spices. 2. Cook rice with spices. 3. Layer chicken and rice together. 4. Serve hot.
"garlic, spring onion, rice, soy sauce",Egg Fried Rice,"rice, egg, soy sauce, garlic, spring onion",1. Scramble eggs in a pan. 2. Add cooked rice and soy sauce. 3. Stir-fry with garlic and onions. 4. Serve hot.
"rice, spring onion, soy sauce",Egg Fried Rice,"rice, egg, soy sauce, garlic, spring onion",1. Scramble eggs in a pan. 2. Add cooked rice and soy sauce. 3. Stir-fry with garlic and onions. 4. Serve hot.
"egg, sugar, milk",Pancakes,"flour, milk, egg, sugar, butter","1. Mix flour, milk, egg, and sugar. 2. Cook on a greased pan. 3. Flip when bubbles appear. 4. Serve with butter and syrup."
"chicken, rice, turmeric, garlic",Chicken Biryani,"chicken, rice, yogurt, garlic, cumin, turmeric",1. Marinate chicken in yogurt and spices. 2. Cook rice with spices. 3. Layer chicken and rice together. 4. Serve hot.
"black pepper, butter, tomato",Tomato Soup,"tomato, garlic, onion, butter, black pepper",1. Sauté onions and garlic in butter. 2. Add chopped tomatoes and cook. 3. Blend smooth and season. 4. Serve hot.
"cumin, rice, chicken",Chicken Biryani,"chicken, rice, yogurt, garlic, cumin, turmeric",1. Marinate chicken in yogurt and spices. 2. Cook rice with spices. 3. Layer chicken and rice together. 4. Serve hot.
"cream, butter, chicken, garlic, pasta, parmesan cheese",Chicken Alfredo,"chicken, pasta, cream, garlic, butter, parmesan cheese","1. Cook pasta. 2. Sauté chicken with garlic. 3. Add cream, butter, and cheese. 4. Mix with pasta and serve."
"onion, butter, garlic",Tomato Soup,"tomato, garlic, onion, butter, black pepper",1. Sauté onions and garlic in butter. 2. Add chopped tomatoes and cook. 3. Blend smooth and season. 4. Serve hot.
"garlic, turmeric, cumin, rice, chicken",Chicken Biryani,"chicken, rice, yogurt, garlic, cumin, turmeric",1. Marinate chicken in yogurt and spices. 2. Cook rice with spices. 3. Layer chicken and rice together. 4. Serve hot.
"honey, banana, milk",Banana Smoothie,"banana, milk, honey","1. Blend banana, milk, and honey. 2. Pour into a glass. 3. Serve chilled."
"spring onion, garlic, rice, soy sauce, egg",Egg Fried Rice,"rice, egg, soy sauce, garlic, spring onion",1. Scramble eggs in a pan. 2. Add cooked rice and soy sauce. 3. Stir-fry with garlic and onions. 4. Serve hot.
"sugar, flour, egg, butter",Pancakes,"flour, milk, egg, sugar, butter","1. Mix flour, milk, egg, and sugar. 2. Cook on a greased pan. 3. Flip when bubbles appear. 4. Serve with butter and syrup."
"garlic, parsley, bread",Garlic Bread,"bread, butter, garlic, parsley",1. Mix butter with minced garlic and parsley. 2. Spread on bread. 3. Bake until golden brown. 4. Serve hot.
"parsley, butter, garlic",Garlic Bread,"bread, butter, garlic, parsley",1. Mix butter with minced garlic and parsley. 2. Spread on bread. 3. Bake until golden brown. 4. Serve hot.
"garlic, turmeric, cumin, chicken, yogurt",Chicken Biryani,"chicken, rice, yogurt, garlic, cumin, turmeric",1. Marinate chicken in yogurt and spices. 2. Cook rice with spices. 3. Layer chicken and rice together. 4. Serve hot.
"black pepper, butter, onion, garlic",Tomato Soup,"tomato, garlic, onion, butter, black pepper",1. Sauté onions and garlic in butter. 2. Add chopped tomatoes and cook. 3. Blend smooth and season. 4. Serve hot.
"milk, sugar, butter",Pancakes,"flour, milk, egg, sugar, butter","1. Mix flour, milk, egg, and sugar. 2. Cook on a greased pan. 3. Flip when bubbles appear. 4. Serve with butter and syrup."
"spring onion, egg, soy sauce, rice, garlic",Egg Fried Rice,"rice, egg, soy sauce, garlic, spring onion",1. Scramble eggs in a pan. 2. Add cooked rice and soy sauce. 3. Stir-fry with garlic and onions. 4. Serve hot.
"garlic, parsley, bread",Garlic Bread,"bread, butter, garlic, parsley",1. Mix butter with minced garlic and parsley. 2. Spread on bread. 3. Bake until golden brown. 4. Serve hot.
"garlic, cream, butter",Chicken Alfredo,"chicken, pasta, cream, garlic, butter, parmesan cheese","1. Cook pasta. 2. Sauté chicken with garlic. 3. Add cream, butter, and cheese. 4. Mix with pasta and serve."
"butter, cheese, bread",Grilled Cheese Sandwich,"bread, butter, cheese",1. Butter bread slices. 2. Add cheese between slices. 3. Grill until golden brown. 4. Serve hot.
"parsley, bread, garlic, butter",Garlic Bread,"bread, butter, garlic, parsley",1. Mix butter with minced garlic and parsley. 2. Spread on bread. 3. Bake until golden brown. 4. Serve hot.
"rice, chicken, cumin",Chicken Biryani,"chicken, rice, yogurt, garlic, cumin, turmeric",1. Marinate chicken in yogurt and spices. 2. Cook rice with spices. 3. Layer chicken and rice together. 4. Serve hot.
"garlic, parsley, butter, bread",Garlic Bread,"bread, butter, garlic, parsley",1. Mix butter with minced garlic and parsley. 2. Spread on bread. 3. Bake until golden brown. 4. Serve hot.
"butter, bread, cheese",Grilled Cheese Sandwich,"bread, butter, cheese",1. Butter bread slices. 2. Add cheese between slices. 3. Grill until golden brown. 4. Serve hot.
"garlic, chicken, rice",Chicken Biryani,"chicken, rice, yogurt, garlic, cumin, turmeric",1. Marinate chicken in yogurt and spices. 2. Cook rice with spices. 3. Layer chicken and rice together. 4. Serve hot.
"egg, spring onion, rice, garlic, soy sauce",Egg Fried Rice,"rice, egg, soy sauce, garlic, spring onion",1. Scramble eggs in a pan. 2. Add cooked rice and soy sauce. 3. Stir-fry with garlic and onions. 4. Serve hot.
"rice, cumin, turmeric, yogurt, garlic",Chicken Biryani,"chicken, rice, yogurt, garlic, cumin, turmeric",1. Marinate chicken in yogurt and spices. 2. Cook rice with spices. 3. Layer chicken and rice together. 4. Serve hot.
"turmeric, yogurt, garlic, cumin, chicken, rice",Chicken Biryani,"chicken, rice, yogurt, garlic, cumin, turmeric",1. Marinate chicken in yogurt and spices. 2. Cook rice with spices. 3. Layer chicken and rice together. 4. Serve hot.
"milk, honey, banana",Banana Smoothie,"banana, milk, honey","1. Blend banana, milk, and honey. 2. Pour into a glass. 3. Serve chilled."
"butter, cheese, bread",Grilled Cheese Sandwich,"bread, butter, cheese",1. Butter bread slices. 2. Add cheese between slices. 3. Grill until golden brown. 4. Serve hot.
"parsley, butter, garlic",Garlic Bread,"bread, butter, garlic, parsley",1. Mix butter with minced garlic and parsley. 2. Spread on bread. 3. Bake until golden brown. 4. Serve hot.
"garlic, yogurt, chicken, rice, cumin, turmeric",Chicken Biryani,"chicken, rice, yogurt, garlic, cumin, turmeric",1. Marinate chicken in yogurt and spices. 2. Cook rice with spices. 3. Layer chicken and rice together. 4. Serve hot.
"soy sauce, bell pepper, broccoli, garlic, olive oil",Vegetable Stir Fry,"broccoli, carrot, bell pepper, soy sauce, garlic, olive oil",1. Chop vegetables. 2. Stir-fry in olive oil. 3. Add soy sauce and garlic. 4. Cook until tender and serve.
"bread, butter, cheese",Grilled Cheese Sandwich,"bread, butter, cheese",1. Butter bread slices. 2. Add cheese between slices. 3. Grill until golden brown. 4. Serve hot.
"parmesan cheese, pasta, chicken, garlic, cream, butter",Chicken Alfredo,"chicken, pasta, cream, garlic, butter, parmesan cheese","1. Cook pasta. 2. Sauté chicken with garlic. 3. Add cream, butter, and cheese. 4. Mix with pasta and serve."
"parmesan cheese, chicken, garlic, pasta",Chicken Alfredo,"chicken, pasta, cream, garlic, butter, parmesan cheese","1. Cook pasta. 2. Sauté chicken with garlic. 3. Add cream, butter, and cheese. 4. Mix with pasta and serve."
"butter, cheese, bread",Grilled Cheese Sandwich,"bread, butter, cheese",1. Butter bread slices. 2. Add cheese between slices. 3. Grill until golden brown. 4. Serve hot.
"butter, black pepper, onion",Tomato Soup,"tomato, garlic, onion, butter, black pepper",1. Sauté onions and garlic in butter. 2. Add chopped tomatoes and cook. 3. Blend smooth and season. 4. Serve hot.
"egg, flour, butter, milk, sugar",Pancakes,"flour, milk, egg, sugar, butter","1. Mix flour, milk, egg, and sugar. 2. Cook on a greased pan. 3. Flip when bubbles appear. 4. Serve with butter and syrup."
"milk, egg, sugar, butter, flour",Pancakes,"flour, milk, egg, sugar, butter","1. Mix flour, milk, egg, and sugar. 2. Cook on a greased pan. 3. Flip when bubbles appear. 4. Serve with butter and syrup."
"spaghetti, egg, bacon, cheese, black pepper",Spaghetti Carbonara,"spaghetti, egg, cheese, bacon, black pepper",1. Boil spaghetti. 2. Cook bacon until crispy. 3. Mix eggs and cheese. 4. Combine everything and serve.
"rice, garlic, spring onion, soy sauce, egg",Egg Fried Rice,"rice, egg, soy sauce, garlic, spring onion",1. Scramble eggs in a pan. 2. Add cooked rice and soy sauce. 3. Stir-fry with garlic and onions. 4. Serve hot.
"olive oil, soy sauce, carrot, garlic, broccoli",Vegetable Stir Fry,"broccoli, carrot, bell pepper, soy sauce, garlic, olive oil",1. Chop vegetables. 2. Stir-fry in olive oil. 3. Add soy sauce and garlic. 4. Cook until tender and serve.
"chicken, garlic, cumin, rice",Chicken Biryani,"chicken, rice, yogurt, garlic, cumin, turmeric",1. Marinate chicken in yogurt and spices. 2. Cook rice with spices. 3. Layer chicken and rice together. 4. Serve hot.
"cheese, butter, bread",Grilled Cheese Sandwich,"bread, butter, cheese",1. Butter bread slices. 2. Add cheese between slices. 3. Grill until golden brown. 4. Serve hot.
"soy sauce, carrot, garlic, broccoli",Vegetable Stir Fry,"broccoli, carrot, bell pepper, soy sauce, garlic, olive oil",1. Chop vegetables. 2. Stir-fry in olive oil. 3. Add soy sauce and garlic. 4. Cook until tender and serve.
"honey, milk, banana",Banana Smoothie,"banana, milk, honey","1. Blend banana, milk, and honey. 2. Pour into a glass. 3. Serve chilled."
"butter, garlic, onion, tomato",Tomato Soup,"tomato, garlic, onion, butter, black pepper",1. Sauté onions and garlic in butter. 2. Add chopped tomatoes and cook. 3. Blend smooth and season. 4. Serve hot.
"spaghetti, cheese, bacon, black pepper",Spaghetti Carbonara,"spaghetti, egg, cheese, bacon, black pepper",1. Boil spaghetti. 2. Cook bacon until crispy. 3. Mix eggs and cheese. 4. Combine everything and serve.
"carrot, broccoli, garlic",Vegetable Stir Fry,"broccoli, carrot, bell pepper, soy sauce, garlic, olive oil",1. Chop vegetables. 2. Stir-fry in olive oil. 3. Add soy sauce and garlic. 4. Cook until tender and serve.
"soy sauce, bell pepper, garlic",Vegetable Stir Fry,"broccoli, carrot, bell pepper, soy sauce, garlic, olive oil",1. Chop vegetables. 2. Stir-fry in olive oil. 3. Add soy sauce and garlic. 4. Cook until tender and serve.
"egg, flour, butter",Pancakes,"flour, milk, egg, sugar, butter","1. Mix flour, milk, egg, and sugar. 2. Cook on a greased pan. 3. Flip when bubbles appear. 4. Serve with butter and syrup."
"cheese, butter, bread",Grilled Cheese Sandwich,"bread, butter, cheese",1. Butter bread slices. 2. Add cheese between slices. 3. Grill until golden brown. 4. Serve hot.
"tomato, butter, onion, black pepper, garlic",Tomato Soup,"tomato, garlic, onion, butter, black pepper",1. Sauté onions and garlic in butter. 2. Add chopped tomatoes and cook. 3. Blend smooth and season. 4. Serve hot.
"flour, milk, sugar",Pancakes,"flour, milk, egg, sugar, butter","1. Mix flour, milk, egg, and sugar. 2. Cook on a greased pan. 3. Flip when bubbles appear. 4. Serve with butter and syrup."
"garlic, soy sauce, bell pepper, broccoli",Vegetable Stir Fry,"broccoli, carrot, bell pepper, soy sauce, garlic, olive oil",1. Chop vegetables. 2. Stir-fry in olive oil. 3. Add soy sauce and garlic. 4. Cook until tender and serve.
"soy sauce, carrot, bell pepper, garlic, olive oil, broccoli",Vegetable Stir Fry,"broccoli, carrot, bell pepper, soy sauce, garlic, olive oil",1. Chop vegetables. 2. Stir-fry in olive oil. 3. Add soy sauce and garlic. 4. Cook until tender and serve.
"chicken, rice, cumin, garlic",Chicken Biryani,"chicken, rice, yogurt, garlic, cumin, turmeric",1. Marinate chicken in yogurt and spices. 2. Cook rice with spices. 3. Layer chicken and rice together. 4. Serve hot.
"bread, butter, cheese",Grilled Cheese Sandwich,"bread, butter, cheese",1. Butter bread slices. 2. Add cheese between slices. 3. Grill until golden brown. 4. Serve hot.
"rice, cumin, garlic, yogurt, chicken",Chicken Biryani,"chicken, rice, yogurt, garlic, cumin, turmeric",1. Marinate chicken in yogurt and spices. 2. Cook rice with spices. 3. Layer chicken and rice together. 4. Serve hot.
"banana, milk, honey",Banana Smoothie,"banana, milk, honey","1. Blend banana, milk, and honey. 2. Pour into a glass. 3. Serve chilled."
"rice, yogurt, turmeric, chicken, garlic",Chicken Biryani,"chicken, rice, yogurt, garlic, cumin, turmeric",1. Marinate chicken in yogurt and spices. 2. Cook rice with spices. 3. Layer chicken and rice together. 4. Serve hot.
"garlic, bell pepper, olive oil, soy sauce, broccoli, carrot",Vegetable Stir Fry,"broccoli, carrot, bell pepper, soy sauce, garlic, olive oil",1. Chop vegetables. 2. Stir-fry in olive oil. 3. Add soy sauce and garlic. 4. Cook until tender and serve.
"spaghetti, cheese, bacon",Spaghetti Carbonara,"spaghetti, egg, cheese, bacon, black pepper",1. Boil spaghetti. 2. Cook bacon until crispy. 3. Mix eggs and cheese. 4. Combine everything and serve.
"bread, cheese, butter",Grilled Cheese Sandwich,"bread, butter, cheese",1. Butter bread slices. 2. Add cheese between slices. 3. Grill until golden brown. 4. Serve hot.
"soy sauce, garlic, bell pepper, broccoli, carrot",Vegetable Stir Fry,"broccoli, carrot, bell pepper, soy sauce, garlic, olive oil",1. Chop vegetables. 2. Stir-fry in olive oil. 3. Add soy sauce and garlic. 4. Cook until tender and serve.
"butter, milk, sugar, egg, flour",Pancakes,"flour, milk, egg, sugar, butter","1. Mix flour, milk, egg, and sugar. 2. Cook on a greased pan. 3. Flip when bubbles appear. 4. Serve with butter and syrup."
"parmesan cheese, butter, chicken, garlic, cream",Chicken Alfredo,"chicken, pasta, cream, garlic, butter, parmesan cheese","1. Cook pasta. 2. Sauté chicken with garlic. 3. Add cream, butter, and cheese. 4. Mix with pasta and serve."
"rice, cumin, yogurt, chicken, turmeric, garlic",Chicken Biryani,"chicken, rice, yogurt, garlic, cumin, turmeric",1. Marinate chicken in yogurt and spices. 2. Cook rice with spices. 3. Layer chicken and rice together. 4. Serve hot.
"banana, honey, milk",Banana Smoothie,"banana, milk, honey","1. Blend banana, milk, and honey. 2. Pour into a glass. 3. Serve chilled."
"banana, milk, honey",Banana Smoothie,"banana, milk, honey","1. Blend banana, milk, and honey. 2. Pour into a glass. 3. Serve chilled."
"cheese, bacon, egg, spaghetti",Spaghetti Carbonara,"spaghetti, egg, cheese, bacon, black pepper",1. Boil spaghetti. 2. Cook bacon until crispy. 3. Mix eggs and cheese. 4. Combine everything and serve.
"cheese, bread, butter",Grilled Cheese Sandwich,"bread, butter, cheese",1. Butter bread slices. 2. Add cheese between slices. 3. Grill until golden brown. 4. Serve hot.
"egg, butter, flour, sugar",Pancakes,"flour, milk, egg, sugar, butter","1. Mix flour, milk, egg, and sugar. 2. Cook on a greased pan. 3. Flip when bubbles appear. 4. Serve with butter and syrup."
"garlic, bread, parsley",Garlic Bread,"bread, butter, garlic, parsley",1. Mix butter with minced garlic and parsley. 2. Spread on bread. 3. Bake until golden brown. 4. Serve hot.
"butter, parmesan cheese, garlic",Chicken Alfredo,"chicken, pasta, cream, garlic, butter, parmesan cheese","1. Cook pasta. 2. Sauté chicken with garlic. 3. Add cream, butter, and cheese. 4. Mix with pasta and serve."
"garlic, onion, tomato",Tomato Soup,"tomato, garlic, onion, butter, black pepper",1. Sauté onions and garlic in butter. 2. Add chopped tomatoes and cook. 3. Blend smooth and season. 4. Serve hot.
"flour, egg, milk, sugar, butter",Pancakes,"flour, milk, egg, sugar, butter","1. Mix flour, milk, egg, and sugar. 2. Cook on a greased pan. 3. Flip when bubbles appear. 4. Serve with butter and syrup."
"egg, bacon, spaghetti, cheese, black pepper",Spaghetti Carbonara,"spaghetti, egg, cheese, bacon, black pepper",1. Boil spaghetti. 2. Cook bacon until crispy. 3. Mix eggs and cheese. 4. Combine everything and serve.
"garlic, rice, soy sauce, spring onion",Egg Fried Rice,"rice, egg, soy sauce, garlic, spring onion",1. Scramble eggs in a pan. 2. Add cooked rice and soy sauce. 3. Stir-fry with garlic and onions. 4. Serve hot.
"cream, parmesan cheese, pasta, butter",Chicken Alfredo,"chicken, pasta, cream, garlic, butter, parmesan cheese","1. Cook pasta. 2. Sauté chicken with garlic. 3. Add cream, butter, and cheese. 4. Mix with pasta and serve."
"parsley, bread, butter, garlic",Garlic Bread,"bread, butter, garlic, parsley",1. Mix butter with minced garlic and parsley. 2. Spread on bread. 3. Bake until golden brown. 4. Serve hot.
"milk, egg, sugar",Pancakes,"flour, milk, egg, sugar, butter","1. Mix flour, milk, egg, and sugar. 2. Cook on a greased pan. 3. Flip when bubbles appear. 4. Serve with butter and syrup."
"sugar, egg, flour, milk, butter",Pancakes,"flour, milk, egg, sugar, butter","1. Mix flour, milk, egg, and sugar. 2. Cook on a greased pan. 3. Flip when bubbles appear. 4. Serve with butter and syrup."
"milk, banana, honey",Banana Smoothie,"banana, milk, honey","1. Blend banana, milk, and honey. 2. Pour into a glass. 3. Serve chilled."
"spring onion, soy sauce, garlic, egg, rice",Egg Fried Rice,"rice, egg, soy sauce, garlic, spring onion",1. Scramble eggs in a pan. 2. Add cooked rice and soy sauce. 3. Stir-fry with garlic and onions. 4. Serve hot.
"bread, cheese, butter",Grilled Cheese Sandwich,"bread, butter, cheese",1. Butter bread slices. 2. Add cheese between slices. 3. Grill until golden brown. 4. Serve hot.
"chicken, parmesan cheese, pasta",Chicken Alfredo,"chicken, pasta, cream, garlic, butter, parmesan cheese","1. Cook pasta. 2. Sauté chicken with garlic. 3. Add cream, butter, and cheese. 4. Mix with pasta and serve."
"turmeric, chicken, garlic, rice, yogurt",Chicken Biryani,"chicken, rice, yogurt, garlic, cumin, turmeric",1. Marinate chicken in yogurt and spices. 2. Cook rice with spices. 3. Layer chicken and rice together. 4. Serve hot.
"chicken, pasta, butter",Chicken Alfredo,"chicken, pasta, cream, garlic, butter, parmesan cheese","1. Cook pasta. 2. Sauté chicken with garlic. 3. Add cream, butter, and cheese. 4. Mix with pasta and serve."
"butter, garlic, parsley",Garlic Bread,"bread, butter, garlic, parsley",1. Mix butter with minced garlic and parsley. 2. Spread on bread. 3. Bake until golden brown. 4. Serve hot.
"tomato, garlic, butter, onion, black pepper",Tomato Soup,"tomato, garlic, onion, butter, black pepper",1. Sauté onions and garlic in butter. 2. Add chopped tomatoes and cook. 3. Blend smooth and season. 4. Serve hot.
"chicken, parmesan cheese, garlic, butter, pasta, cream",Chicken Alfredo,"chicken, pasta, cream, garlic, butter, parmesan cheese","1. Cook pasta. 2. Sauté chicken with garlic. 3. Add cream, butter, and cheese. 4. Mix with pasta and serve."
"garlic, black pepper, butter, tomato",Tomato Soup,"tomato, garlic, onion, butter, black pepper",1. Sauté onions and garlic in butter. 2. Add chopped tomatoes and cook. 3. Blend smooth and season. 4. Serve hot.
"bacon, egg, spaghetti, cheese, black pepper",Spaghetti Carbonara,"spaghetti, egg, cheese, bacon, black pepper",1. Boil spaghetti. 2. Cook bacon until crispy. 3. Mix eggs and cheese. 4. Combine everything and serve.
"egg, rice, garlic, soy sauce",Egg Fried Rice,"rice, egg, soy sauce, garlic, spring onion",1. Scramble eggs in a pan. 2. Add cooked rice and soy sauce. 3. Stir-fry with garlic and onions. 4. Serve hot.
"spaghetti, black pepper, cheese",Spaghetti Carbonara,"spaghetti, egg, cheese, bacon, black pepper",1. Boil spaghetti. 2. Cook bacon until crispy. 3. Mix eggs and cheese. 4. Combine everything and serve.
"turmeric, cumin, rice, chicken, yogurt, garlic",Chicken Biryani,"chicken, rice, yogurt, garlic, cumin, turmeric",1. Marinate chicken in yogurt and spices. 2. Cook rice with spices. 3. Layer chicken and rice together. 4. Serve hot.
"butter, garlic, parmesan cheese, cream",Chicken Alfredo,"chicken, pasta, cream, garlic, butter, parmesan cheese","1. Cook pasta. 2. Sauté chicken with garlic. 3. Add cream, butter, and cheese. 4. Mix with pasta and serve."
"bread, butter, parsley",Garlic Bread,"bread, butter, garlic, parsley",1. Mix butter with minced garlic and parsley. 2. Spread on bread. 3. Bake until golden brown. 4. Serve hot.
